non_performing_account_id,non_performing_amount,tier1,risk_weighted_assets,created_date,account_id,description
20707,894803,924702,897704,2023-02-19,3394,xyz
4682,632815,650404,174269,2022-10-24,4498,abc
8016,410699,763493,216942,2021-01-11,13924,xyz
26107,373650,828004,844495,2023-02-28,14189,abc
33998,873439,612004,821546,2020-10-12,21290,xyz
17784,810702,655597,520602,2023-03-29,35190,abc
21233,518673,285379,935878,2020-06-29,23326,xyz
36171,934264,875398,939496,2021-10-05,6639,abc
4494,511168,356497,593783,2022-05-15,12153,xyz
5363,330529,968763,942598,2019-10-31,3426,abc
4517,400157,252068,769725,2022-04-29,31400,abc
78,946367,829656,650209,2022-05-26,9695,xyz
38473,515521,998536,245575,2022-10-04,33955,abc
32017,362702,928547,811501,2020-10-24,39618,xyz
4438,684141,548820,860103,2020-01-09,28210,abc
33596,883291,831042,190964,2020-06-26,36922,abc
9333,693313,218266,845023,2020-06-21,39093,abc
34386,990475,104702,144522,2020-03-02,20322,xyz
39293,456588,774877,698294,2019-11-20,34100,xyz
7196,172729,731055,404347,2020-01-29,16387,xyz
22320,399075,594100,478151,2023-01-05,5468,xyz
8164,138537,448666,400587,2021-06-04,25229,abc
28789,252379,356180,487047,2022-07-13,8633,xyz
27424,208345,122696,332256,2020-01-06,11779,xyz
4540,916898,303859,381581,2020-12-20,31715,xyz
34698,329308,874254,863550,2022-08-01,32533,abc
33832,770138,587265,353298,2022-09-02,18474,abc
6540,180789,578881,499255,2020-06-28,548,xyz
18306,932130,740787,936928,2020-09-26,10372,abc
11229,165848,291068,260809,2020-01-14,7440,xyz
33623,297444,400109,453785,2022-09-10,31967,abc
14659,162334,301138,258304,2022-12-03,20891,abc
3285,128336,486492,315007,2020-04-18,34463,xyz
11611,954796,376804,420308,2020-01-15,6793,xyz
3078,929076,293898,245840,2021-08-27,18754,abc
6038,885705,835670,647244,2019-08-11,32394,xyz
32249,561448,233714,630977,2023-06-25,4181,xyz
14698,886786,979158,669352,2019-12-04,5353,xyz
25979,875412,762005,720063,2022-02-12,16213,abc
5922,439974,937350,668787,2020-10-13,12717,xyz
25765,925353,927312,952005,2022-10-23,4974,xyz
10697,277744,889679,436127,2020-10-22,25626,xyz
18580,736462,595851,685312,2022-02-01,21155,abc
1775,584784,270236,694288,2021-07-27,29608,abc
8986,119271,607488,158835,2021-12-26,11669,xyz
2601,142833,455703,531618,2021-03-14,21649,abc
39379,207458,276665,108999,2021-07-26,39071,abc
25380,788231,716078,449420,2022-03-28,780,xyz
31331,171537,760210,206831,2022-06-04,16045,xyz
37191,954899,511460,615742,2019-10-01,4242,xyz
12957,675095,924965,925939,2022-09-17,18271,abc
32861,517315,215506,429508,2021-05-31,19172,xyz
15919,923176,421884,540792,2022-02-14,12225,abc
32284,674531,227477,833445,2020-07-18,39856,xyz
15010,850376,263570,365566,2022-12-10,29847,abc
16024,475163,608643,530969,2022-07-04,4077,xyz
2205,773923,622096,694130,2021-11-14,21429,abc
14041,329001,179684,773572,2020-06-29,24888,xyz
3144,780696,405291,458513,2023-05-09,9317,abc
17005,453405,323809,392870,2023-02-11,9945,xyz
11434,865230,544325,704350,2022-06-05,14442,xyz
30331,881914,419145,973485,2023-01-28,38246,abc
11210,751112,358725,574945,2021-11-07,34545,xyz
18442,981160,457643,497733,2020-04-13,12147,xyz
20823,421577,783674,584578,2021-04-02,23029,abc
25540,970773,678564,587545,2022-01-22,13217,xyz
24667,702019,353582,164395,2019-11-21,18425,xyz
34062,316121,378900,697121,2022-09-29,37653,abc
17728,201919,471054,282354,2020-10-22,31004,abc
2578,277236,600502,496370,2019-08-03,7166,xyz
38785,129957,325898,854450,2021-04-12,8883,xyz
16956,579610,193659,331950,2020-04-17,6363,abc
29962,783543,129514,764823,2021-03-28,37110,xyz
7730,551473,710305,187439,2019-09-01,34150,abc
32271,676704,108029,206404,2019-11-02,27935,abc
8366,977917,615134,738291,2023-04-18,36772,xyz
28959,306994,665802,890389,2022-06-02,16450,abc
24812,552948,108793,975816,2022-01-20,32209,xyz
15542,114784,184800,208905,2022-04-20,12626,abc
4253,367885,286311,842768,2021-06-25,23319,xyz
26810,366688,410134,183126,2022-04-30,34546,xyz
4593,629055,816373,895408,2021-11-16,6601,xyz
34243,980825,375274,411956,2020-08-27,2830,abc
8306,791490,382344,896430,2022-09-02,1660,xyz
37456,553795,695795,424461,2019-12-22,2004,xyz
14712,384692,893141,561355,2023-03-26,33799,abc
15276,719317,520421,880378,2021-12-30,32851,xyz
34903,963743,466834,767624,2023-04-17,39503,abc
23713,962295,663040,143323,2020-10-13,34201,xyz
27845,752766,655515,324982,2023-02-09,35911,abc
7400,425793,946723,667318,2021-06-18,32639,xyz
8324,647169,929150,328471,2021-06-21,22366,xyz
28383,513840,942508,160441,2019-11-08,5960,xyz
6904,673437,636420,231949,2020-06-14,4016,abc
38083,352967,611177,775393,2021-08-10,6697,xyz
24006,769787,359168,275465,2021-04-12,17469,xyz
5915,186112,138315,914510,2020-11-16,937,xyz
36187,913116,397419,516268,2020-04-02,20081,abc
17211,491838,601982,245595,2020-12-25,17686,abc
35632,116823,374578,491638,2022-11-05,26754,abc
2081,314740,690274,573645,2022-09-15,15921,abc
31319,320295,561600,545495,2022-04-06,18560,abc
33871,230236,690911,468087,2020-05-28,9798,xyz
983,268764,785827,469067,2021-06-02,35634,abc
24758,840403,413578,802147,2022-01-16,28878,abc
4987,421778,355108,265716,2020-11-14,28423,xyz
9804,768031,192427,898722,2020-07-24,14797,xyz
31004,265989,256477,869349,2023-05-01,9403,abc
35497,220730,706288,139598,2020-08-16,39505,xyz
17734,644836,327006,798111,2022-12-28,10366,abc
27109,499483,612833,632403,2021-11-26,36794,abc
3071,163149,473387,671672,2022-07-29,29442,xyz
8251,669768,301979,646069,2020-09-13,39794,abc
34571,547904,877337,575697,2022-09-29,32732,xyz
9627,628393,239282,951277,2023-02-14,3614,abc
26063,831729,824285,174093,2020-12-23,11360,abc
33089,936916,231569,777220,2021-02-18,18156,abc
10047,620230,424720,226725,2019-11-28,18167,abc
11993,251840,445330,996806,2021-03-17,20193,abc
3569,827396,486512,331482,2021-09-22,34874,abc
26643,633098,730619,444438,2022-08-13,30255,abc
37711,635088,851121,642261,2019-12-22,16612,abc
20913,871271,727713,400203,2020-08-23,38597,abc
18430,939876,141148,199747,2023-06-30,25365,xyz
29915,919789,296068,421708,2023-05-14,10730,abc
28629,642466,993446,660979,2021-03-15,11947,abc
17307,209354,339722,259137,2019-08-21,23525,abc
21547,218519,459858,857868,2020-10-18,29638,abc
3652,258682,647067,282978,2020-12-03,98,xyz
7386,947692,383816,311443,2023-01-20,6643,xyz
2029,704974,234389,347112,2020-11-04,13854,xyz
29628,300136,145032,476491,2023-07-15,11700,abc
28181,903108,607647,297912,2023-06-23,26156,xyz
37170,162946,298575,783456,2021-01-13,433,xyz
28206,898233,876290,174139,2023-05-25,38102,abc
35094,460494,477953,500077,2022-02-13,37319,abc
18871,957777,807728,953584,2021-03-16,26476,abc
3086,509180,566886,757930,2022-10-19,25737,xyz
8496,236237,105738,673444,2019-09-07,23850,xyz
9729,494483,147226,177435,2023-06-28,28232,abc
19031,590498,448322,623526,2019-10-31,37396,abc
39717,473223,112618,478159,2021-01-28,32806,xyz
39053,250183,986496,458087,2021-02-07,35133,abc
7616,630960,338708,580985,2021-10-23,33220,abc
4022,724327,426123,160749,2019-10-30,17231,xyz
21792,857603,222306,359867,2022-11-30,37912,xyz
34104,214976,762931,842834,2022-06-12,22257,xyz
19950,486110,265197,852375,2020-04-25,9416,xyz
6258,481067,688491,679601,2022-09-05,37031,xyz
32979,158298,563374,791431,2022-07-19,11217,xyz
31730,879457,783648,751455,2023-03-01,33933,xyz
13085,323423,386607,683305,2020-12-25,18499,xyz
32113,818079,348897,685156,2021-04-06,27098,xyz
2983,437336,790080,290198,2020-03-11,12996,xyz
23350,371203,944958,675966,2021-09-28,28511,xyz
8457,898810,570336,593260,2020-12-02,5363,abc
16497,983865,868480,452760,2021-06-04,39722,abc
849,624554,712858,476587,2019-10-21,38571,abc
33129,848875,253445,834085,2020-08-22,31537,abc
22215,813393,475840,333590,2019-12-31,3769,abc
8394,557684,779737,728382,2023-04-14,5955,xyz
24964,228746,932343,231904,2022-04-05,25706,abc
15537,392388,894321,197054,2020-09-05,30073,abc
18959,747541,464279,831873,2021-08-16,38634,xyz
20685,856693,385306,505515,2020-12-16,16081,xyz
2682,587969,525227,223963,2020-07-29,34492,abc
20798,427843,744758,208219,2021-03-04,22653,abc
27326,553797,149698,103160,2022-06-22,37438,xyz
5723,460008,704274,426912,2023-01-27,9759,xyz
14342,760587,100227,438289,2020-12-15,25717,xyz
8276,123852,969539,169883,2021-03-25,21923,xyz
31784,613662,977653,613241,2022-06-16,26795,abc
33837,816381,423714,794913,2022-10-12,38003,abc
24504,277817,873876,468440,2019-09-16,12907,xyz
22353,248714,372034,232954,2019-08-03,8104,abc
32648,741470,741357,184679,2021-12-17,3571,xyz
11416,118760,529221,166791,2020-09-22,13361,xyz
17769,862028,211873,403218,2022-09-18,26944,xyz
27707,159027,734707,226451,2021-01-22,18500,xyz
26271,207143,878135,370058,2019-11-24,26956,xyz
21164,847632,594567,744592,2021-11-23,17335,xyz
7881,501936,107290,886154,2023-01-13,17628,xyz
16348,477961,458107,779072,2020-02-14,25033,abc
10963,169207,352432,128302,2022-02-26,18291,abc
26402,991330,918040,497674,2022-07-24,27441,abc
8119,478325,582432,657948,2022-01-11,37125,xyz
38937,489681,899861,962035,2020-04-09,10237,xyz
4040,788279,651557,715260,2021-05-05,6343,xyz
27675,234627,663214,644074,2020-10-15,37606,xyz
25468,767166,540034,740617,2021-07-05,31807,xyz
16545,483137,469650,376900,2022-08-04,17286,abc
1767,370140,304038,389335,2023-04-21,17127,xyz
31522,285921,554273,546016,2019-08-24,39231,xyz
6318,986192,123581,214280,2021-01-17,32776,xyz
2439,954799,991441,394932,2019-09-18,14277,xyz
11033,881837,836089,878165,2023-05-23,18445,abc
5470,815078,120146,717308,2022-12-11,37004,xyz
29239,679102,774009,692332,2023-06-25,20096,xyz
13522,868818,781527,894643,2021-07-14,39637,xyz
27077,868571,129180,487014,2022-02-21,3223,abc
33382,297976,138347,800576,2020-01-11,18421,xyz
11712,238319,688717,122323,2021-11-05,31860,xyz
26469,550081,807803,836602,2022-11-29,35757,xyz
11539,131621,179467,902198,2022-10-26,34392,abc
4122,356015,332957,477635,2020-05-18,31857,xyz
15815,795133,699050,591900,2023-03-29,22272,abc
20420,525479,389431,415498,2021-03-03,11165,xyz
11131,941557,363902,604190,2019-10-30,18858,xyz
22504,337220,279697,325528,2020-11-01,36727,xyz
21019,473891,648258,142398,2020-10-03,13849,xyz
12842,410787,176538,168288,2021-08-06,2323,abc
19068,115409,914455,686321,2020-10-25,11935,abc
13331,142207,705015,835117,2021-11-01,38364,abc
33071,138079,840154,989497,2021-07-10,5797,xyz
15987,812816,689613,459039,2019-07-29,14809,xyz
32175,789449,518841,380100,2020-06-13,23389,abc
27416,323382,457835,525288,2021-08-24,16417,xyz
29877,275886,458437,744502,2021-12-22,18294,abc
25168,927969,213189,597888,2020-08-20,36970,xyz
30132,449042,813636,679515,2021-06-15,10617,abc
6515,698495,706192,763373,2021-01-20,9986,abc
8831,987447,368671,139411,2021-03-25,36109,xyz
36709,906019,246371,740454,2020-01-17,15937,abc
38420,281676,268130,225240,2023-04-26,30415,abc
9868,556750,320141,202326,2023-04-18,12408,xyz
11133,909598,282089,192824,2021-04-16,14752,abc
16673,273676,594536,871524,2023-04-11,35838,abc
37280,628034,400671,944127,2021-01-27,17462,xyz
2276,474606,897681,379552,2022-10-13,10162,abc
13338,241965,614231,923662,2020-08-26,28615,abc
34683,324643,151663,920121,2021-07-26,13349,abc
32529,373648,154087,710852,2019-11-05,11210,abc
28810,602318,877808,365311,2020-03-01,35218,xyz
4855,220093,171025,659575,2021-02-13,25036,xyz
10474,976651,767172,387365,2022-11-13,35502,xyz
34589,970358,532153,226069,2023-02-17,20599,xyz
36443,282799,325740,701350,2021-06-23,18165,abc
10964,272647,600045,508046,2021-04-18,22585,abc
27878,663296,557945,918767,2023-04-03,29880,abc
17728,486126,100033,121919,2019-10-23,4365,abc
28802,687816,261869,428023,2023-05-22,39511,abc
8043,895606,318044,663369,2021-10-21,21813,abc
12292,391507,940644,800108,2021-01-05,32439,xyz
25260,760223,954581,431249,2022-07-02,387,abc
26416,911165,627443,595171,2023-03-04,12008,abc
15225,735953,481305,531260,2020-10-30,25088,abc
22336,155378,613083,125548,2022-06-17,1370,abc
24442,883695,840778,386251,2019-07-27,4220,abc
27317,297976,432722,606319,2022-06-19,11832,abc
34056,891360,835109,886445,2022-11-04,26834,abc
3019,674358,631763,442327,2021-06-10,13195,xyz
18386,457141,580498,619272,2019-08-22,10179,abc
18752,163130,552992,960311,2022-02-01,4084,xyz
1458,592128,144166,542876,2023-07-03,456,xyz
11456,829513,317942,355180,2019-11-07,24136,abc
34422,195501,803913,384047,2021-02-26,26739,xyz
10193,146919,624834,941612,2020-07-20,26580,abc
3085,513579,472502,416238,2021-02-26,13381,xyz
2259,175083,707368,821203,2022-11-24,30915,abc
37652,773686,975073,698707,2023-06-14,27304,abc
23617,353296,716057,562436,2021-12-23,38425,xyz
39206,875201,199621,237108,2019-08-03,12361,abc
22174,489767,278233,352755,2021-08-20,8310,abc
32623,738156,985013,200068,2023-03-16,36595,abc
34980,704239,187103,469606,2022-07-19,29086,xyz
22030,576676,486079,676399,2023-01-08,7377,abc
31287,911077,178312,206416,2022-05-02,35335,abc
21926,914119,842068,981325,2022-01-18,10923,xyz
37578,541268,174936,293748,2023-04-22,2809,abc
1149,668707,354088,695714,2020-11-12,27,abc
33703,497082,123709,276020,2020-06-28,37033,xyz
569,238746,476756,123721,2022-02-05,31629,abc
19461,248077,321563,702276,2022-11-14,13668,xyz
17191,168146,818281,973252,2023-07-03,8040,xyz
22461,329296,888513,695937,2021-12-15,24642,xyz
34546,349178,451773,233940,2023-03-29,5267,abc
10647,826125,941200,813256,2023-03-29,28561,xyz
1949,336465,875736,336080,2023-03-19,22885,abc
20590,340443,849409,112920,2020-02-12,36823,abc
30081,575052,921474,256433,2020-09-12,19571,xyz
19060,268782,179296,844596,2023-03-31,16918,abc
17710,275549,396188,409608,2023-02-23,1224,xyz
6151,964736,758014,866904,2020-10-08,15805,abc
23413,691227,206593,807977,2023-06-19,15246,xyz
8835,949039,608194,462233,2021-11-06,10738,abc
6709,171476,491714,285346,2023-06-04,2808,abc
20804,706718,494038,267875,2020-12-16,5465,xyz
26205,342880,867144,733622,2019-10-28,37588,xyz
25522,292633,619808,599853,2020-01-22,39956,abc
11217,162890,731558,821471,2020-11-16,27384,xyz
29149,725777,404940,307394,2019-12-27,39796,abc
35613,714618,599673,132327,2023-04-03,13139,abc
28480,794531,766747,113287,2022-09-21,27150,abc
9296,783916,239952,622199,2022-03-15,7253,abc
7213,748857,349646,227918,2021-01-24,7045,abc
10413,670285,637959,380554,2019-12-24,28366,xyz
17807,409503,695826,535191,2019-11-14,4449,xyz
23981,760593,921929,793659,2020-03-18,18586,abc
20570,113084,126725,602169,2022-01-05,25130,xyz
401,349666,441176,236273,2019-11-11,31675,xyz
13944,191844,151484,185767,2020-02-21,22003,abc
3377,317823,650487,359526,2020-11-20,7047,abc
8047,385974,294844,239773,2020-11-20,25363,xyz
11559,830566,925373,884604,2023-04-28,4039,abc
26134,826535,382342,737296,2020-03-29,12603,xyz
20804,937710,656457,671723,2020-02-29,111,abc
5669,185351,192576,757527,2021-01-18,355,abc
39337,662366,679441,549261,2021-04-26,21534,abc
25194,304533,130742,334160,2021-10-06,8011,xyz
17449,911571,638653,907183,2020-06-02,31391,xyz
35038,888622,904795,372004,2021-02-13,30463,xyz
9310,938917,149447,324619,2020-11-12,39624,xyz
19841,838627,952018,121328,2022-10-26,5695,xyz
37837,957869,320017,935425,2019-12-26,22361,abc
11435,644123,331357,553341,2019-10-14,16404,xyz
22371,968721,276619,323990,2020-06-22,715,xyz
33680,872426,673265,409348,2021-05-09,16766,xyz
18907,592048,182359,960899,2020-02-28,33304,xyz
12200,607298,708494,451084,2021-11-29,25367,xyz
22183,634412,590296,790952,2023-05-30,9117,abc
15426,896597,946270,779453,2023-04-29,25763,xyz
9510,783429,956555,891042,2020-12-08,21020,abc
27509,417057,135482,882035,2021-08-21,16557,abc
39172,878722,569425,645339,2020-03-03,39033,abc
88,979974,163058,233369,2020-11-28,31886,xyz
20174,257178,425780,518740,2020-03-16,16158,abc
26201,258367,226457,122262,2020-05-22,4942,abc
26080,482524,333652,378868,2022-03-06,13914,xyz
16896,147946,568882,664826,2022-09-26,9430,abc
20988,726289,358507,249607,2020-04-03,13367,xyz
22913,583554,602033,574109,2020-06-15,34208,xyz
37463,926390,797782,751824,2019-11-21,7415,abc
14006,377368,923882,200605,2022-06-26,18002,xyz
4418,856099,399783,290625,2022-11-22,24554,abc
31557,362744,911307,611914,2022-08-03,5532,abc
9468,352568,450823,609308,2022-06-06,20163,xyz
32295,179345,139398,399734,2020-03-31,6143,abc
39018,923410,456162,772809,2023-06-28,3729,abc
36661,954740,801536,225787,2021-06-25,6409,xyz
16923,535509,326164,161024,2023-06-26,31730,xyz
11273,282821,967066,343439,2021-08-04,10488,abc
6156,931178,600135,590240,2022-04-09,33842,abc
9207,904802,335352,118129,2022-01-02,7970,abc
8731,426196,595297,812074,2022-04-07,17114,abc
36090,995172,994452,765458,2023-06-30,33247,abc
30682,496901,445004,725260,2020-06-28,25977,xyz
30782,472523,310034,919440,2020-07-05,3679,xyz
17474,513206,108927,105031,2021-05-16,39280,abc
17583,504594,448994,872580,2021-02-15,18871,xyz
17028,125585,568447,305436,2021-10-12,15228,xyz
2166,749706,811587,131435,2019-12-17,32886,abc
22542,941970,233589,661680,2020-11-29,21313,xyz
3689,667060,853404,644208,2020-08-18,25900,xyz
15189,629630,338490,404503,2022-12-22,22638,abc
16492,795858,648403,720499,2023-01-16,18278,abc
36195,490466,679256,858131,2021-01-01,1863,abc
26782,425637,809589,521187,2019-12-11,526,xyz
36454,695779,426740,255140,2023-01-04,15993,abc
15622,990600,995588,586459,2019-10-09,22199,xyz
7875,642563,205279,467140,2022-11-30,35587,abc
21885,358277,355527,831710,2021-11-08,5867,xyz
6025,126896,811363,736236,2019-09-04,31539,xyz
22634,347960,244853,501379,2021-02-20,19185,xyz
33196,750620,152960,699170,2020-03-24,16295,abc
25617,143909,796961,104192,2023-01-18,32410,abc
32279,197592,893952,459633,2019-08-01,5983,abc
9524,907231,181853,226620,2021-01-04,14830,xyz
38973,846727,399341,265186,2021-12-18,14806,xyz
34486,189310,951444,310892,2022-07-09,9168,xyz
1078,883182,363258,735843,2019-11-28,39730,xyz
7262,111230,248283,527389,2022-06-16,20505,abc
11710,257960,848987,337923,2020-04-05,3865,xyz
25418,846648,774890,932225,2022-12-21,34098,xyz
35485,604563,616576,130692,2022-12-05,5589,abc
21729,474686,323019,621196,2021-05-15,18284,xyz
25422,902314,947642,630174,2020-12-30,31259,abc
15463,975337,492357,424178,2020-12-07,33565,abc
35169,415846,286182,275137,2023-06-25,14486,abc
12592,868767,370949,531999,2020-11-23,33229,abc
7219,699706,978953,454822,2022-10-23,28935,xyz
37052,166603,946310,690585,2019-08-01,1266,xyz
28954,768712,191511,341837,2021-12-18,22209,xyz
31499,849344,860329,313797,2021-02-25,1622,abc
32587,548082,399902,108886,2019-10-05,33943,xyz
7805,177874,371034,610559,2022-11-21,28914,xyz
2698,796370,958450,478534,2021-09-03,10822,abc
2772,509731,895065,195592,2022-11-07,31929,xyz
18907,280831,907400,254528,2021-07-07,26302,xyz
13580,422370,312798,435364,2021-09-01,26021,xyz
8959,273119,456343,661574,2022-09-20,19588,abc
14005,505597,979456,972712,2023-05-21,4656,xyz
2419,947426,542703,609261,2021-11-16,17673,xyz
24107,318145,564230,557578,2021-03-15,9509,abc
1601,763029,329746,633726,2021-09-01,36802,abc
16845,591661,700763,509665,2023-05-20,3341,xyz
428,337591,395703,880325,2023-02-15,13571,xyz
35099,323607,422238,715440,2021-05-28,21500,abc
34003,358309,423554,370944,2020-10-07,37193,abc
36839,836432,983042,139126,2020-04-06,1281,abc
35355,388220,584906,198301,2020-03-04,14614,abc
38764,117307,633727,787790,2021-09-16,8950,abc
13591,200043,568478,587443,2022-05-27,19676,xyz
15538,585376,883628,399009,2023-01-22,25883,xyz
28638,302052,915120,111771,2023-07-12,38552,xyz
16312,143060,677864,255008,2023-02-19,31705,abc
38123,934318,134378,228532,2022-03-07,28617,xyz
24074,425011,860507,252749,2022-12-17,12009,xyz
21991,640077,864243,963836,2019-10-05,38220,xyz
2282,679170,720116,272752,2022-11-12,29009,xyz
15593,322897,744817,594491,2021-10-23,4281,abc
3071,492017,760306,504019,2023-04-23,36606,xyz
8133,722855,551323,642107,2023-03-05,39255,abc
35523,805672,440894,514143,2019-08-07,38567,abc
20110,882484,600535,171775,2020-03-04,27221,abc
966,643166,820090,262907,2020-08-18,5049,abc
24880,943500,364257,106752,2021-11-10,32603,abc
34558,668899,494496,527595,2019-08-20,38495,abc
14032,370898,977362,533053,2021-11-24,28751,abc
39799,312791,403153,836985,2020-07-16,13574,xyz
35305,582650,954884,498721,2021-05-19,34795,abc
37480,906176,566317,554596,2022-11-04,33565,abc
1198,458349,905211,540095,2023-04-26,8989,abc
14003,760947,354785,492648,2022-06-08,17083,abc
581,858042,758291,724143,2019-09-14,33691,abc
23962,579827,961307,406596,2021-03-06,22814,abc
29123,286093,664854,541260,2021-04-29,454,xyz
20194,593885,766648,966404,2023-06-06,10547,abc
24227,881265,127921,463088,2023-07-22,22702,xyz
9372,445340,875778,510947,2021-06-09,14760,xyz
21287,823164,855571,473723,2021-09-27,10456,xyz
26971,208673,404760,748391,2022-12-24,1449,xyz
7412,994457,284492,657546,2022-12-19,4713,abc
21295,843093,600558,842020,2022-04-13,21392,xyz
27419,227765,143830,843436,2022-10-08,1732,abc
38684,704919,861590,677393,2021-07-17,16624,abc
405,874553,439381,144863,2020-12-30,22485,xyz
26972,165475,948544,140560,2022-05-07,22228,abc
17260,991199,759728,774758,2022-06-18,30233,xyz
22510,771678,822860,165007,2022-10-15,27955,abc
7077,616550,350562,753993,2020-11-09,23256,xyz
34006,224282,274440,506163,2021-02-13,17835,abc
23582,405844,148812,123774,2021-03-26,20913,abc
9173,776097,661670,687156,2022-07-30,35060,abc
19755,233391,267679,666300,2022-04-23,24492,abc
3981,608937,238716,788414,2023-03-18,21332,xyz
22840,856596,999848,413282,2022-01-10,25228,abc
15039,770722,142175,445080,2022-08-15,12583,xyz
31896,273603,732476,639092,2021-04-02,23082,abc
32217,812820,898049,433686,2019-07-26,37453,xyz
39558,162223,725262,101264,2020-06-21,31628,xyz
28684,361043,833051,926922,2023-07-19,26036,abc
21031,903134,401107,870415,2020-11-10,32822,xyz
29938,853375,136235,958361,2022-03-11,7865,abc
17864,852623,288573,897808,2023-04-11,9236,abc
4323,787205,660267,153726,2023-05-19,3995,xyz
11763,179262,363755,997301,2021-11-08,39450,abc
8618,554057,513841,831771,2023-01-20,16686,xyz
22177,491381,137035,329463,2022-05-22,9370,abc
32249,947033,589578,850706,2022-02-17,24465,abc
38688,163767,135120,781900,2022-01-02,8691,xyz
35850,572065,256326,333631,2021-01-15,28792,abc
14030,814578,470800,603540,2023-04-03,17318,abc
3824,674224,532284,471744,2021-08-15,1501,abc
2329,840706,902944,652063,2023-02-09,37239,xyz
33002,338973,426798,661356,2020-03-18,10675,xyz
2682,323788,187454,151089,2020-10-27,25500,abc
32145,689061,977162,659447,2020-06-12,1079,xyz
23581,271086,542190,352091,2019-12-03,34492,abc
5845,772045,214138,936770,2022-03-24,23906,abc
21545,864309,238248,461269,2022-01-05,24899,abc
33156,605259,719895,708020,2021-12-29,1014,xyz
26621,747316,775918,853981,2021-12-10,862,abc
17020,701361,652235,830627,2023-04-17,8987,abc
18016,361932,631954,265479,2020-08-11,1730,xyz
1953,120552,261833,455024,2022-07-13,12582,xyz
13742,384324,670422,738471,2021-07-30,20935,xyz
2961,319513,583931,932483,2023-07-23,6442,abc
3970,551165,239128,415449,2023-01-21,21476,abc
33245,596024,344110,113963,2022-08-01,12663,abc
6427,107317,534349,267758,2022-09-23,15112,xyz
38488,945317,732813,908432,2019-10-04,22030,abc
4940,238315,925173,865962,2020-08-07,13163,xyz
35704,719499,547040,415187,2021-09-27,21548,xyz
39139,402385,513199,846951,2021-08-17,18042,abc
8799,988169,915443,662638,2022-06-21,24208,xyz
10343,284160,176619,642874,2019-10-21,36318,abc
27026,832252,958529,199275,2021-01-08,600,xyz
6652,416972,833091,641564,2021-04-01,22616,xyz
30985,698772,722476,866113,2021-03-10,19107,abc
12391,155227,324023,949008,2020-04-10,29396,xyz
21891,904753,753490,974029,2021-01-01,38537,xyz
32361,836613,688651,458262,2022-07-24,1825,xyz
38366,930185,818230,418332,2020-08-02,33985,xyz
36167,273718,134616,900276,2021-03-23,18313,abc
26533,550672,521799,597874,2022-05-28,30909,xyz
20888,766166,307609,120448,2020-09-17,15947,xyz
13715,924678,570722,611667,2022-04-10,25584,xyz
252,239368,127135,197277,2023-02-17,25356,xyz
2224,874004,873776,790147,2023-02-22,39382,abc
6052,191448,217933,439970,2019-08-13,7241,abc
6789,485456,111426,344227,2020-10-07,15221,abc
25701,558572,660972,561162,2022-09-13,19612,abc
9218,698845,851859,897330,2021-02-28,23625,abc
5456,570705,828613,310013,2023-06-12,36893,xyz
34545,425940,189878,215947,2021-02-03,11025,abc
17025,364800,705803,318696,2021-01-18,12905,xyz
1558,253356,895179,122466,2023-07-01,24197,abc
19549,766893,564036,827885,2023-07-06,32488,xyz
6716,364760,876824,583993,2019-09-10,9763,abc
28310,967839,215295,494647,2021-08-02,23821,abc
889,707234,843313,165959,2021-02-12,36088,xyz
23747,389660,133228,632970,2021-11-04,4600,xyz
30786,670546,672039,554457,2019-11-29,28935,abc
36243,856301,546905,363659,2020-06-21,32682,xyz
2694,538191,314600,484721,2023-07-21,17848,xyz
19683,493672,386672,887325,2023-04-03,27144,xyz
32919,166891,753799,156604,2021-04-11,30924,xyz
4076,771065,688012,173388,2019-09-19,20303,xyz
7093,653886,500773,372938,2021-11-08,21440,xyz
30327,885709,410116,613047,2022-12-01,9921,abc
32576,977042,537324,233188,2020-02-01,10746,abc
23953,201780,926291,144357,2021-03-27,27983,xyz
7531,121896,398528,957859,2022-04-05,14013,xyz
11369,420231,299866,351070,2019-10-20,2060,abc
30947,514078,750818,465820,2019-10-16,32952,xyz
14805,313431,966922,590550,2021-08-30,9309,xyz
16987,409247,610051,320415,2022-03-09,7686,xyz
31827,688374,174008,412351,2022-07-18,12530,xyz
6798,820090,675334,335972,2020-09-17,4553,xyz
452,286167,333055,142349,2020-11-25,10622,xyz
16515,932788,531772,600092,2021-02-27,35133,abc
1068,139916,920634,279079,2021-08-21,35067,abc
21919,774140,658575,774747,2020-08-27,17642,abc
19650,621467,123257,500932,2022-08-01,18273,abc
23740,382482,996011,244516,2022-08-13,16340,abc
855,966437,785294,684579,2022-08-19,28231,abc
29056,580938,114034,487331,2020-02-16,39089,abc
20563,582651,815614,490473,2021-09-01,27997,abc
452,365961,286137,673739,2021-03-14,6086,abc
25396,172813,737276,963491,2022-06-16,17694,xyz
26495,722102,877190,201710,2020-05-17,32307,abc
27888,148939,875535,899729,2020-01-23,9056,abc
28517,211256,235495,891224,2021-01-30,9614,abc
8171,545984,692628,518699,2022-11-26,11733,abc
9238,372725,252246,802618,2021-04-05,11601,abc
27408,431673,965374,328924,2019-10-28,36844,abc
2049,958860,388900,580574,2020-02-10,2365,abc
15941,123754,322082,325890,2022-05-17,31323,abc
