security_id,security_name,security_type,quantity,market_value,purchase_date,purchase_price,purchase_value
796,Ortiz-Lee securities,Equity Securities,18,65024,2016-07-07,3581,64468
797,Smith-Flores securities,Equity Securities,71,34697,2021-04-01,481,34211
798,Frazier Phillips and Smith securities,Mortgage-Backed Securities,93,37798,2022-08-08,399,37121
799,Smith Vega and Smith securities,Asset-Backed Securities,44,28879,2022-03-13,649,28581
800,Sanders Pitts and Wilkinson securities,Government Bonds,98,79807,2017-06-12,809,79316
801,Farrell Peterson and Thornton securities,Mortgage-Backed Securities,79,80210,2021-12-02,1011,79936
802,Guerrero-Smith securities,Equity Securities,31,98785,2022-03-25,3164,98087
803,White and Sons securities,Asset-Backed Securities,49,43559,2023-01-13,879,43098
804,Smith Bruce and Green securities,Mortgage-Backed Securities,85,56367,2021-08-04,656,55766
805,Dougherty-Wilson securities,Money Market Instruments,53,99073,2021-01-12,1859,98533
806,Baker and Sons securities,Foreign Exchange,33,30266,2017-09-09,907,29954
807,Gomez Stafford and Barry securities,Money Market Instruments,79,35432,2023-01-12,446,35275
808,Riley-Cruz securities,Government Bonds,11,42411,2017-11-03,3800,41806
809,Turner Wagner and Smith securities,Asset-Backed Securities,18,67632,2018-06-02,3721,66980
810,Price Taylor and Miles securities,Money Market Instruments,40,81775,2022-08-11,2034,81398
811,Olson and Sons securities,Foreign Exchange,86,26400,2020-03-10,300,25875
812,Young Murphy and Nichols securities,Foreign Exchange,2,60521,2016-09-18,30192,60385
813,Sutton LLC securities,Corporate Bonds,76,89856,2020-07-03,1175,89302
814,Diaz Ltd securities,Treasury Bills,17,27105,2017-06-18,1573,26750
815,Henderson LLC securities,Foreign Exchange,25,60320,2018-09-08,2407,60196
816,Ryan Jones and Carter securities,Mortgage-Backed Securities,23,21824,2021-03-12,929,21373
817,Farrell and Sons securities,Money Market Instruments,33,8787,2023-06-03,249,8231
818,Costa-Fletcher securities,Equity Securities,22,62019,2021-03-18,2788,61348
819,Fisher Marshall and Sanchez securities,Corporate Bonds,37,66880,2021-11-25,1791,66291
820,Smith and Sons securities,Mortgage-Backed Securities,77,85177,2020-01-01,1100,84733
821,Burns-Kim securities,Foreign Exchange,31,58353,2018-06-30,1876,58157
822,Logan-Lowery securities,Mortgage-Backed Securities,51,24097,2020-10-08,469,23969
823,Macdonald Johnson and Walker securities,Money Market Instruments,49,13098,2019-01-15,263,12926
824,Skinner Inc securities,Mortgage-Backed Securities,42,6933,2022-02-18,159,6691
825,Harrison Travis and Young securities,Corporate Bonds,34,82597,2021-09-21,2413,82062
826,Salinas Rodriguez and Harris securities,Foreign Exchange,99,67712,2017-12-18,680,67351
827,Reed PLC securities,Corporate Bonds,91,12148,2019-01-12,129,11769
828,Norris-Herrera securities,Money Market Instruments,48,54409,2022-07-24,1122,53897
829,Harper Rodriguez and Lucas securities,Foreign Exchange,10,93322,2019-06-23,9317,93174
830,Allen-Haley securities,Equity Securities,45,82332,2017-11-27,1825,82153
831,Hall-Williams securities,Corporate Bonds,12,5673,2018-02-27,441,5299
832,Bryant Ltd securities,Equity Securities,43,39927,2021-09-04,918,39500
833,Andrews Inc securities,Mortgage-Backed Securities,71,61208,2018-04-25,853,60576
834,Roach Little and Wheeler securities,Foreign Exchange,83,63375,2016-12-26,760,63150
835,Murray-Allen securities,Money Market Instruments,26,27769,2019-04-09,1048,27254
836,Farley Ltd securities,Corporate Bonds,22,48079,2018-05-25,2159,47502
837,Ramirez Tate and Rodriguez securities,Money Market Instruments,17,75616,2018-05-02,4416,75081
838,Cooley Richardson and Santos securities,Mortgage-Backed Securities,86,42703,2020-12-18,490,42152
839,Fernandez Ltd securities,Government Bonds,53,50287,2017-12-24,944,50074
840,Burns and Sons securities,Money Market Instruments,8,48415,2020-06-07,6010,48087
841,Butler-Briggs securities,Asset-Backed Securities,1,99662,2023-06-06,98994,98994
842,Moreno-Frye securities,Treasury Bills,35,84128,2018-06-08,2393,83776
843,Smith Inc securities,Government Bonds,44,58521,2022-10-03,1314,57823
844,Barker Group securities,Foreign Exchange,36,30225,2020-11-01,833,30015
845,Shelton Inc securities,Treasury Bills,96,75562,2019-11-07,782,75165
846,Barker-Lawrence securities,Government Bonds,83,29989,2018-06-08,359,29836
847,Torres-Whitaker securities,Foreign Exchange,17,92753,2023-03-11,5420,92141
848,Smith Inc securities,Treasury Bills,85,55291,2022-07-16,645,54908
849,Martin Torres and Young securities,Mortgage-Backed Securities,41,56525,2023-02-06,1363,55910
850,Anthony Ward and Young securities,Treasury Bills,86,45553,2019-06-05,521,44887
851,Chen York and Arnold securities,Mortgage-Backed Securities,31,51167,2020-05-15,1645,51023
852,Martin LLC securities,Government Bonds,39,39852,2017-04-21,1006,39257
853,Jones-Cowan securities,Money Market Instruments,38,42737,2017-06-24,1106,42057
854,Harrison PLC securities,Government Bonds,11,94048,2016-09-24,8497,93468
855,Conley Ferguson and Thomas securities,Government Bonds,6,65797,2022-05-13,10852,65115
856,Thompson-Adams securities,Asset-Backed Securities,41,93837,2021-07-02,2279,93467
857,Ramos-Gomez securities,Money Market Instruments,60,57689,2020-04-04,959,57556
858,Mercer Mckinney and Macias securities,Foreign Exchange,35,37281,2019-09-22,1061,37157
859,Davis and Sons securities,Government Bonds,21,48108,2021-09-15,2285,47988
860,Hall Castro and Ramirez securities,Foreign Exchange,36,62692,2017-07-25,1725,62112
861,Smith-Lowery securities,Equity Securities,11,12396,2018-07-22,1092,12020
862,Alexander Lee and Diaz securities,Foreign Exchange,72,11315,2021-05-11,153,11032
863,Price-Myers securities,Treasury Bills,3,43855,2021-10-03,14523,43570
864,Burton-Wood securities,Foreign Exchange,53,41001,2017-06-17,769,40772
865,Reed-Lynch securities,Equity Securities,73,77585,2018-01-20,1057,77190
866,Brown LLC securities,Mortgage-Backed Securities,7,22003,2018-11-13,3111,21782
867,Jackson-Ellis securities,Government Bonds,22,10527,2021-11-01,452,9950
868,Gardner Hughes and Mcguire securities,Government Bonds,46,52056,2021-10-04,1125,51757
869,Kelley-Ponce securities,Mortgage-Backed Securities,35,57754,2022-09-21,1641,57462
870,Hanson Powell and Bowen securities,Money Market Instruments,36,21940,2019-12-10,604,21769
871,Miller Ltd securities,Equity Securities,47,95319,2018-11-23,2017,94824
872,Coleman-Mcdonald securities,Mortgage-Backed Securities,63,8410,2017-03-15,131,8278
873,Clark-Mejia securities,Corporate Bonds,46,69345,2018-03-30,1494,68732
874,Adams-Cox securities,Equity Securities,2,63659,2020-11-15,31732,63465
875,Perez PLC securities,Mortgage-Backed Securities,71,34772,2020-07-17,481,34162
876,Mckee-Hawkins securities,Money Market Instruments,31,30360,2021-04-13,958,29728
877,Ramirez Inc securities,Foreign Exchange,29,33741,2018-04-14,1142,33139
878,Wheeler Villanueva and Williams securities,Foreign Exchange,31,35227,2022-07-30,1132,35097
879,Castillo PLC securities,Treasury Bills,38,62912,2016-12-26,1650,62715
880,Scott Ward and Morris securities,Mortgage-Backed Securities,60,25584,2019-04-20,415,24936
881,Escobar-Velasquez securities,Asset-Backed Securities,3,73086,2020-12-31,24163,72489
882,Levy Pham and Wilson securities,Government Bonds,75,81267,2017-01-18,1075,80675
883,Brown Hayes and Bass securities,Treasury Bills,63,11955,2017-05-18,187,11821
884,Hayes-Taylor securities,Mortgage-Backed Securities,79,83813,2023-03-31,1058,83599
885,James-Summers securities,Asset-Backed Securities,10,9475,2016-11-22,899,8990
886,Haynes-Moore securities,Mortgage-Backed Securities,88,11835,2018-06-02,126,11153
887,Lewis Inc securities,Corporate Bonds,50,36633,2020-02-14,725,36295
888,Houston-Stewart securities,Treasury Bills,82,20390,2019-08-10,241,19784
889,Delgado Ltd securities,Foreign Exchange,68,83104,2017-07-28,1212,82481
890,Miller Robinson and Villarreal securities,Asset-Backed Securities,28,7533,2022-09-07,247,6922
891,Hamilton Ltd securities,Money Market Instruments,55,22034,2021-03-08,391,21529
892,Hernandez-Smith securities,Equity Securities,33,75086,2021-07-13,2260,74590
893,Cannon LLC securities,Mortgage-Backed Securities,32,86865,2022-11-27,2708,86669
894,Lang LLC securities,Equity Securities,7,23403,2022-05-11,3291,23043
895,Campbell-Davidson securities,Foreign Exchange,28,52135,2016-11-08,1853,51892
896,Pace-Gonzalez securities,Foreign Exchange,13,41013,2021-07-09,3127,40658
897,Jackson-Smith securities,Equity Securities,50,83142,2017-07-08,1649,82493
898,Griffin Liu and Rivera securities,Equity Securities,16,75940,2017-12-15,4720,75532
899,Whitehead-Zavala securities,Money Market Instruments,37,65414,2021-04-11,1760,65139
900,Mccarthy Inc securities,Equity Securities,47,81602,2019-04-28,1730,81323
901,Bryant Inc securities,Foreign Exchange,47,35233,2018-02-02,738,34713
902,Jackson-Jones securities,Treasury Bills,21,22530,2018-03-20,1056,22186
903,Cohen Parker and Jacobs securities,Money Market Instruments,14,42866,2019-12-07,3038,42540
904,Lozano-Kim securities,Mortgage-Backed Securities,70,63488,2018-03-25,898,62886
905,Hoffman-Santana securities,Asset-Backed Securities,56,24414,2022-04-08,429,24065
906,Woods LLC securities,Money Market Instruments,23,9074,2021-11-17,385,8877
907,Knight Wiley and Travis securities,Foreign Exchange,70,56091,2022-10-02,796,55752
908,Harris-Farmer securities,Government Bonds,78,8602,2019-08-31,107,8411
909,Wilson PLC securities,Corporate Bonds,97,38242,2022-11-05,389,37773
910,Miller Ltd securities,Equity Securities,71,86117,2017-02-24,1205,85598
911,Martin PLC securities,Asset-Backed Securities,43,84463,2020-03-12,1955,84071
912,Brown PLC securities,Mortgage-Backed Securities,24,28911,2018-02-14,1200,28810
913,King Peterson and Porter securities,Money Market Instruments,23,38083,2021-11-01,1633,37579
914,Sanders Pennington and Simon securities,Equity Securities,55,14965,2018-06-20,263,14502
915,Martin Hernandez and Edwards securities,Corporate Bonds,77,58024,2018-08-21,750,57806
916,Elliott Ltd securities,Asset-Backed Securities,91,38682,2021-11-11,417,38030
917,Stewart PLC securities,Foreign Exchange,44,65828,2021-09-01,1483,65269
918,Mccann Short and Garner securities,Mortgage-Backed Securities,74,98385,2019-10-13,1323,97938
919,Fitzpatrick and Sons securities,Treasury Bills,74,99704,2021-06-05,1339,99149
920,Mcdonald-Hanna securities,Government Bonds,51,89383,2018-02-13,1746,89074
921,Hunt Wood and Short securities,Corporate Bonds,36,98743,2016-10-17,2728,98210
922,Haynes-Blanchard securities,Foreign Exchange,97,61549,2022-07-29,628,60941
923,Warren Crosby and Robinson securities,Mortgage-Backed Securities,27,46438,2022-05-30,1701,45940
924,Nguyen LLC securities,Treasury Bills,40,67567,2023-03-25,1679,67197
925,Phillips Group securities,Money Market Instruments,34,67117,2017-09-08,1970,67002
926,Cunningham Aguilar and Perez securities,Corporate Bonds,55,32828,2018-06-22,593,32619
927,Carter-Duncan securities,Corporate Bonds,87,19561,2018-11-18,219,19079
928,Jimenez-Valenzuela securities,Asset-Backed Securities,75,95659,2018-02-25,1266,94968
929,Harding-Yates securities,Equity Securities,34,93757,2016-07-24,2741,93208
930,Taylor Ltd securities,Asset-Backed Securities,34,71208,2019-03-22,2088,70998
931,Taylor-Miller securities,Equity Securities,15,44014,2018-06-13,2889,43339
932,Roberts Jones and Mccormick securities,Money Market Instruments,30,19885,2023-04-09,642,19282
933,Lewis-Garza securities,Mortgage-Backed Securities,4,62986,2020-02-07,15614,62457
934,Rivera-Mason securities,Asset-Backed Securities,68,28481,2022-03-15,411,27975
935,Anthony Leonard and Smith securities,Corporate Bonds,51,41945,2017-05-25,812,41435
936,Davis-Brown securities,Equity Securities,84,30076,2021-09-28,353,29707
937,Galloway Rodriguez and Esparza securities,Mortgage-Backed Securities,56,61958,2019-10-05,1099,61596
938,Horton Young and Young securities,Mortgage-Backed Securities,6,50753,2017-04-27,8429,50579
939,Clark Salinas and Woods securities,Treasury Bills,37,23140,2020-05-17,607,22495
940,Ortiz Ltd securities,Treasury Bills,33,57508,2016-12-12,1732,57178
941,Reid Campbell and Barry securities,Asset-Backed Securities,10,5246,2022-03-23,485,4857
942,Merritt-Davidson securities,Mortgage-Backed Securities,97,58399,2023-05-26,598,58091
943,Wilson and Sons securities,Corporate Bonds,85,69471,2018-01-03,810,68907
944,Singh Group securities,Treasury Bills,35,80564,2021-01-01,2294,80290
945,Jones Steele and Garrett securities,Government Bonds,24,85600,2018-03-06,3552,85256
946,Walker-Knight securities,Government Bonds,8,81598,2019-07-04,10139,81119
947,Stone and Sons securities,Mortgage-Backed Securities,100,38889,2019-01-10,383,38308
948,Robinson Taylor and Sims securities,Mortgage-Backed Securities,84,86632,2022-11-30,1028,86386
949,Morgan-Gonzalez securities,Money Market Instruments,69,93490,2020-09-18,1352,93297
950,Simmons Moss and Gilbert securities,Treasury Bills,16,5551,2020-08-07,321,5142
951,Calhoun Ltd securities,Money Market Instruments,4,94241,2019-10-25,23387,93550
952,Garcia LLC securities,Mortgage-Backed Securities,10,73218,2023-05-17,7269,72694
953,Ford-Smith securities,Foreign Exchange,66,24040,2023-01-05,362,23931
954,Flores-Marshall securities,Treasury Bills,85,6105,2019-04-20,66,5615
955,Vargas PLC securities,Money Market Instruments,29,79773,2016-10-30,2746,79655
956,Snyder and Sons securities,Equity Securities,33,67409,2018-01-29,2036,67220
957,Austin Bennett and Sheppard securities,Asset-Backed Securities,55,37595,2018-05-21,672,36986
958,Dudley Miller and Garner securities,Equity Securities,54,14536,2020-02-15,260,14053
959,Nash LLC securities,Foreign Exchange,22,34741,2018-05-31,1548,34076
960,Hamilton Inc securities,Treasury Bills,21,64764,2016-12-21,3078,64658
961,Wang-Sexton securities,Mortgage-Backed Securities,41,38698,2020-06-18,931,38175
962,Robinson-Carr securities,Treasury Bills,33,21067,2020-01-19,624,20608
963,Rivera Ltd securities,Equity Securities,16,19970,2018-07-16,1213,19417
964,Martinez Ltd securities,Mortgage-Backed Securities,52,81535,2019-10-24,1565,81388
965,Barnes-Mitchell securities,Asset-Backed Securities,71,43417,2018-09-18,608,43209
966,Martin Davis and Valentine securities,Asset-Backed Securities,82,30697,2021-02-20,367,30113
967,Mills-Walters securities,Treasury Bills,44,36477,2020-01-05,818,35993
968,Chan Mckee and Vasquez securities,Money Market Instruments,69,16482,2017-04-04,237,16362
969,Fleming-Leonard securities,Money Market Instruments,88,69311,2017-10-28,784,69041
970,Jennings-Green securities,Treasury Bills,88,34435,2020-10-11,387,34096
971,Nelson-Wilson securities,Treasury Bills,17,65206,2021-10-06,3814,64843
972,Logan-Norman securities,Asset-Backed Securities,36,60708,2020-08-14,1680,60513
973,Bradley Ltd securities,Mortgage-Backed Securities,34,44126,2019-09-16,1278,43481
974,Adams-Lee securities,Asset-Backed Securities,35,50184,2021-11-12,1417,49612
975,Austin-Ferguson securities,Corporate Bonds,22,6284,2022-02-20,259,5698
976,Bishop-Wright securities,Mortgage-Backed Securities,15,51766,2020-03-30,3429,51437
977,Lynch-Spence securities,Money Market Instruments,68,77929,2021-06-20,1137,77339
978,Jennings-Reed securities,Corporate Bonds,28,10725,2022-03-15,377,10565
979,Sandoval LLC securities,Treasury Bills,61,93168,2018-12-09,1525,93054
980,Wallace Fernandez and Oconnor securities,Government Bonds,43,6264,2016-10-11,138,5939
981,Gentry-Guzman securities,Government Bonds,69,41578,2021-07-09,597,41222
982,Brewer Miller and Brown securities,Mortgage-Backed Securities,81,84054,2019-03-15,1029,83356
983,Richardson Inc securities,Mortgage-Backed Securities,91,38748,2021-04-15,418,38092
984,Roberson-Bishop securities,Money Market Instruments,50,94330,2020-07-13,1878,93906
985,Davis-Ray securities,Corporate Bonds,32,19708,2018-12-18,597,19124
986,Griffin Tucker and Baldwin securities,Money Market Instruments,60,68681,2022-03-26,1139,68345
987,Neal Inc securities,Asset-Backed Securities,53,84694,2018-08-01,1594,84496
988,Perez Duncan and Dillon securities,Mortgage-Backed Securities,87,19565,2021-01-04,222,19341
989,Reyes-Rodriguez securities,Equity Securities,95,10677,2023-03-01,105,10004
990,Jones Martinez and Evans securities,Treasury Bills,60,78732,2022-01-04,1308,78486
991,Gardner LLC securities,Corporate Bonds,64,80341,2022-06-16,1248,79927
992,Small Velasquez and House securities,Equity Securities,79,94015,2018-05-15,1187,93831
993,Johnson PLC securities,Foreign Exchange,53,68494,2020-09-05,1279,67795
994,Collins Lang and Davis securities,Government Bonds,65,61084,2018-11-06,931,60571
995,Myers Group securities,Corporate Bonds,14,69418,2020-10-26,4936,69115
996,Brock LLC securities,Asset-Backed Securities,89,25618,2017-06-12,281,25033
997,Stephens Mann and Harris securities,Treasury Bills,63,62200,2020-12-07,983,61965
998,Jones-Jensen securities,Mortgage-Backed Securities,11,91749,2021-05-03,8310,91413
999,Ortega-Mcdonald securities,Mortgage-Backed Securities,85,24971,2020-11-13,287,24421
1000,White-Hall securities,Corporate Bonds,55,22583,2021-11-30,405,22315
1001,Ochoa Group securities,Foreign Exchange,57,61309,2022-03-27,1064,60702
1002,Chang-Alexander securities,Treasury Bills,81,54183,2020-10-10,660,53502
1003,Guzman Lewis and Jackson securities,Mortgage-Backed Securities,18,12233,2019-01-18,656,11823
1004,James and Sons securities,Equity Securities,22,17324,2020-12-29,766,16859
1005,King-Mcdonald securities,Corporate Bonds,87,61250,2023-07-05,697,60653
1006,Barry Jackson and Miller securities,Corporate Bonds,52,49689,2019-06-18,944,49121
1007,Sawyer Group securities,Money Market Instruments,37,16798,2021-03-15,437,16177
1008,Baker Collier and Neal securities,Government Bonds,31,32528,2017-01-25,1030,31959
1009,Daniels Pierce and Miller securities,Asset-Backed Securities,48,51919,2018-10-03,1069,51333
1010,Thomas LLC securities,Equity Securities,18,10629,2019-08-09,569,10249
1011,Robertson-Schultz securities,Treasury Bills,72,31068,2016-08-23,424,30550
1012,Rodriguez Bailey and Byrd securities,Government Bonds,52,47459,2020-11-30,904,47008
1013,Johnston PLC securities,Mortgage-Backed Securities,69,25639,2022-01-20,363,25082
1014,Cruz-Proctor securities,Mortgage-Backed Securities,65,89260,2022-04-17,1364,88662
1015,Young LLC securities,Mortgage-Backed Securities,32,39129,2022-09-14,1207,38651
1016,Davis Inc securities,Asset-Backed Securities,93,8432,2022-08-26,86,8069
1017,Moore and Sons securities,Equity Securities,82,25665,2021-04-05,310,25497
1018,Coleman-Gardner securities,Treasury Bills,9,49878,2022-04-27,5466,49198
1019,Johnson Ltd securities,Government Bonds,72,66202,2022-02-07,911,65645
1020,Baker Ramirez and Mason securities,Money Market Instruments,17,28083,2022-03-02,1615,27458
1021,Benjamin-Decker securities,Foreign Exchange,57,23486,2021-06-25,400,22803
1022,Lee Inc securities,Money Market Instruments,4,44965,2022-10-21,11155,44622
1023,Chapman Wells and Cohen securities,Equity Securities,34,6379,2020-02-11,167,5701
1024,Lopez Rice and Baldwin securities,Asset-Backed Securities,18,57845,2022-02-10,3188,57384
1025,Miller Harrell and Flores securities,Government Bonds,61,36870,2019-05-19,596,36382
1026,Parrish-Ramos securities,Mortgage-Backed Securities,95,49118,2019-01-26,511,48612
1027,Hurst Ltd securities,Treasury Bills,78,68831,2018-07-19,874,68214
1028,Black Knox and Molina securities,Equity Securities,43,53422,2019-11-12,1232,52987
1029,Russell-Ramos securities,Asset-Backed Securities,74,23520,2020-06-20,316,23412
1030,Gomez Group securities,Government Bonds,44,5561,2021-07-16,123,5447
1031,Braun LLC securities,Treasury Bills,79,7954,2021-03-25,94,7447
1032,Evans Koch and Moody securities,Foreign Exchange,79,31563,2018-05-08,398,31446
1033,Chandler Lang and Curry securities,Mortgage-Backed Securities,39,54829,2019-10-15,1393,54339
1034,Thornton Ltd securities,Asset-Backed Securities,78,31448,2021-12-25,400,31269
1035,Wheeler Inc securities,Asset-Backed Securities,67,60228,2017-05-09,894,59927
1036,Lucas Group securities,Equity Securities,99,54305,2022-07-04,547,54204
1037,Hayes-Johnson securities,Government Bonds,3,47880,2019-09-19,15897,47691
1038,Irwin-Cuevas securities,Money Market Instruments,93,79723,2021-05-04,852,79261
1039,Williams Patton and Bates securities,Money Market Instruments,100,12732,2020-11-02,124,12484
1040,Garcia-Jones securities,Mortgage-Backed Securities,36,77185,2020-02-05,2130,76691
1041,Brown Kelly and Pratt securities,Foreign Exchange,65,81691,2018-10-20,1250,81278
1042,Huerta Ltd securities,Equity Securities,25,48997,2017-08-22,1947,48687
1043,Mata-Ellis securities,Asset-Backed Securities,33,82292,2017-07-05,2484,81977
1044,Whitney Group securities,Foreign Exchange,31,66927,2021-07-30,2138,66286
1045,Schneider Rowe and Scott securities,Foreign Exchange,43,56790,2019-03-29,1313,56466
1046,Fernandez Turner and Hawkins securities,Asset-Backed Securities,35,85406,2017-08-20,2426,84917
1047,Stone-Carlson securities,Government Bonds,97,50627,2018-05-25,519,50413
1048,Myers Perry and Wilson securities,Corporate Bonds,55,96904,2018-06-12,1753,96418
1049,Duran-Cobb securities,Asset-Backed Securities,42,31741,2021-10-19,750,31516
1050,Mejia and Sons securities,Government Bonds,32,76852,2020-11-22,2391,76519
1051,Salinas and Sons securities,Equity Securities,44,39462,2017-01-18,887,39065
1052,Perez-Anderson securities,Money Market Instruments,63,16158,2022-07-30,251,15828
1053,Moore-Smith securities,Equity Securities,45,34856,2021-09-30,759,34179
1054,Romero-Hernandez securities,Mortgage-Backed Securities,36,43312,2018-07-28,1185,42681
1055,Barry Navarro and Hernandez securities,Treasury Bills,16,38649,2016-07-05,2378,38056
1056,Arroyo Ltd securities,Government Bonds,43,5599,2022-06-21,126,5435
1057,Martinez-Washington securities,Foreign Exchange,31,38739,2017-07-14,1233,38225
1058,Williams Wood and Hall securities,Corporate Bonds,81,62261,2021-01-16,760,61596
1059,Boyd Ltd securities,Foreign Exchange,49,8849,2019-08-07,169,8318
1060,Scott Davis and Campbell securities,Mortgage-Backed Securities,77,27242,2018-01-23,346,26656
1061,Ferrell Baxter and Munoz securities,Treasury Bills,64,13146,2020-05-01,202,12931
1062,Gonzalez Lopez and Berry securities,Mortgage-Backed Securities,37,7318,2022-05-28,187,6945
1063,James LLC securities,Asset-Backed Securities,57,99340,2020-01-20,1737,99029
1064,Walker Hansen and Mitchell securities,Money Market Instruments,79,43114,2019-02-03,539,42654
1065,Gibson-Mora securities,Corporate Bonds,91,27126,2021-03-23,295,26932
1066,Harris Logan and Harmon securities,Government Bonds,31,25913,2023-06-24,829,25721
1067,Walsh Ltd securities,Corporate Bonds,32,18366,2018-10-16,554,17754
1068,Larsen-Sanders securities,Foreign Exchange,73,53811,2021-03-08,735,53699
1069,Cole-Griffin securities,Foreign Exchange,13,30395,2021-02-27,2311,30044
1070,Barber Tucker and Harris securities,Equity Securities,8,35336,2021-04-22,4345,34767
1071,Kramer Peters and Clayton securities,Treasury Bills,100,57220,2018-09-03,570,57056
1072,Turner Gonzalez and Mcfarland securities,Corporate Bonds,55,88876,2017-06-28,1606,88377
1073,Clark Group securities,Equity Securities,87,96134,2019-06-23,1098,95561
1074,Graham-Rodriguez securities,Money Market Instruments,31,60956,2022-09-01,1953,60562
1075,Harrington Mercado and Hart securities,Treasury Bills,54,71485,2020-11-16,1315,71021
1076,Bradford-Moore securities,Asset-Backed Securities,22,24487,2017-07-22,1086,23899
1077,Montoya-Harrison securities,Asset-Backed Securities,41,16173,2023-03-08,378,15538
1078,Soto Best and Sheppard securities,Asset-Backed Securities,17,84904,2022-06-20,4980,84663
1079,Neal-Conrad securities,Money Market Instruments,10,15008,2022-09-04,1489,14895
1080,Ortiz Inc securities,Mortgage-Backed Securities,80,10120,2016-08-12,118,9498
1081,Wilson Inc securities,Asset-Backed Securities,47,12528,2018-06-25,262,12339
1082,Nielsen-Wright securities,Asset-Backed Securities,68,43833,2020-07-14,637,43383
1083,Duncan LLC securities,Equity Securities,26,39151,2023-04-30,1485,38628
1084,Ochoa Group securities,Corporate Bonds,91,71818,2020-03-07,784,71414
1085,Duncan LLC securities,Mortgage-Backed Securities,46,53526,2020-05-10,1158,53293
1086,Parker-Medina securities,Treasury Bills,20,90035,2021-03-20,4467,89343
1087,Best Matthews and Hernandez securities,Mortgage-Backed Securities,56,7885,2021-09-14,133,7465
1088,Cunningham Cook and Sanchez securities,Asset-Backed Securities,77,86922,2016-07-19,1121,86385
1089,Watts-Horton securities,Treasury Bills,77,36517,2021-12-28,469,36175
1090,Sanchez Gibson and Riley securities,Treasury Bills,48,78097,2021-02-02,1616,77584
1091,Johnson PLC securities,Equity Securities,88,32305,2021-05-06,365,32126
1092,Wagner Barrett and Walsh securities,Foreign Exchange,73,84104,2019-02-23,1144,83538
1093,Jackson Sanchez and Fisher securities,Treasury Bills,22,5006,2021-02-11,203,4485
1094,Blair Ltd securities,Corporate Bonds,6,57800,2018-04-07,9595,57570
1095,Cross-Dorsey securities,Money Market Instruments,65,43539,2023-02-08,662,43089
1096,Brennan-Davis securities,Government Bonds,96,8930,2016-08-08,88,8502
1097,Jordan Inc securities,Government Bonds,50,63164,2018-03-14,1261,63057
1098,Johns Smith and Leon securities,Government Bonds,40,50641,2017-04-29,1251,50069
1099,Murphy-Thomas securities,Asset-Backed Securities,71,17619,2022-11-22,245,17423
1100,Silva-Nguyen securities,Corporate Bonds,28,26525,2016-12-23,931,26082
1101,Barajas-Miller securities,Corporate Bonds,61,24395,2019-09-03,393,24007
1102,Allen Powers and Thomas securities,Equity Securities,28,47576,2021-09-06,1688,47270
1103,Cortez Group securities,Corporate Bonds,82,71378,2017-03-12,866,71077
1104,Hooper and Sons securities,Government Bonds,12,27158,2020-05-07,2245,26946
1105,West Group securities,Government Bonds,47,79177,2020-09-03,1672,78611
1106,Le PLC securities,Treasury Bills,77,43217,2020-03-20,552,42521
1107,Clay Group securities,Corporate Bonds,100,15420,2021-05-06,152,15257
1108,Swanson Group securities,Treasury Bills,31,50578,2017-04-04,1627,50457
1109,Smith and Sons securities,Foreign Exchange,36,46020,2022-06-03,1267,45622
1110,Moran Gardner and Gray securities,Treasury Bills,46,52625,2023-04-18,1133,52149
1111,Dodson and Sons securities,Mortgage-Backed Securities,79,86133,2021-12-18,1087,85900
1112,Martinez-Kennedy securities,Asset-Backed Securities,36,22740,2020-06-10,627,22599
1113,Stein Esparza and Humphrey securities,Government Bonds,95,5878,2016-10-03,54,5212
1114,Becker and Sons securities,Treasury Bills,20,76075,2017-11-08,3796,75926
1115,Mckinney-Jones securities,Corporate Bonds,45,28406,2021-02-01,628,28287
1116,Jordan LLC securities,Treasury Bills,21,33694,2021-12-02,1573,33053
1117,Mann Martinez and Valentine securities,Money Market Instruments,56,12212,2021-08-06,215,12086
1118,Russell Key and Welch securities,Government Bonds,1,37945,2018-08-13,37826,37826
1119,Holt Myers and Johnson securities,Treasury Bills,79,85229,2023-05-13,1073,84840
1120,Robertson-Williams securities,Mortgage-Backed Securities,33,67331,2020-10-13,2020,66678
1121,Patrick PLC securities,Asset-Backed Securities,19,80364,2017-06-21,4215,80094
1122,Mullen Group securities,Government Bonds,7,51939,2016-12-05,7390,51730
1123,Jones-Lewis securities,Government Bonds,75,60675,2020-08-22,805,60396
1124,Manning Inc securities,Corporate Bonds,42,73907,2021-12-02,1745,73293
1125,Ford-Kelly securities,Equity Securities,59,26829,2017-11-04,446,26332
1126,Ford Ltd securities,Foreign Exchange,31,98782,2019-09-25,3176,98457
1127,Monroe Roberts and Lewis securities,Treasury Bills,30,71004,2019-12-07,2357,70717
1128,Johnson-Ramirez securities,Government Bonds,62,80742,2019-03-29,1298,80521
1129,Reynolds Group securities,Asset-Backed Securities,64,69421,2022-01-18,1076,68864
1130,Wilson Ryan and Vance securities,Equity Securities,59,45725,2021-08-13,766,45238
1131,Wells Blair and Jennings securities,Treasury Bills,11,98967,2017-07-06,8975,98726
1132,Sanchez-Dixon securities,Treasury Bills,30,19939,2017-05-15,653,19595
1133,Turner Nunez and Lee securities,Asset-Backed Securities,56,56294,2021-04-19,996,55799
