Transaction_ID,Transfer_Type,Loan_Amount,Bank_Interest_Rate,Other_Interest_Rate
844,OUT,228768,8.75,4.61
845,IN,108936,8.08,10.23
846,IN,422565,6.1,11.97
847,OUT,101385,12.09,11.67
848,OUT,460457,14.49,11.61
849,IN,328446,4.92,5.33
850,IN,113260,9.27,9.59
851,IN,381329,10.96,12.64
852,IN,244255,7.22,9.19
853,IN,377931,4.03,7.73
854,IN,141486,8.49,8.71
855,IN,132103,5.74,13.97
856,IN,127058,6.51,9.39
857,IN,161034,5.59,6.93
858,OUT,252380,10.15,8.67
859,OUT,342369,9.55,4.02
860,OUT,327730,13.12,10.92
861,OUT,472000,11.81,9.15
862,IN,186903,8.08,10.44
863,OUT,320441,14.22,11.75
864,IN,479259,10.48,14.74
865,IN,182699,11.2,12.13
866,OUT,178745,13.44,12.91
867,IN,292982,4.26,7.35
868,IN,256758,6.58,9.33
869,OUT,378209,14.46,10.17
870,OUT,298121,9.06,6.07
871,IN,175202,4.73,5.19
872,OUT,315059,13.99,7.46
873,OUT,106001,9.07,5.2
874,OUT,241676,5.89,5.16
875,OUT,247203,14.41,11.07
876,OUT,425950,13.36,9.81
877,IN,493027,4.19,6.06
878,IN,477381,5.23,5.43
879,IN,479524,8.84,9.06
880,OUT,395057,12.54,12.45
881,OUT,410844,7.34,5.67
882,IN,103333,9.44,11.93
883,IN,409976,5.38,6.26
884,OUT,276033,10.27,6.88
885,OUT,126369,13.4,11.42
886,OUT,452736,14.58,12.61
887,OUT,427871,10.79,9.51
888,IN,179394,7.85,8.52
889,OUT,226168,12.98,12.53
890,OUT,275183,12.25,7.98
891,IN,475283,9.2,14.04
892,OUT,119154,13.05,11.64
893,IN,283180,7.75,13.14
894,OUT,461207,7.29,5.86
895,IN,303006,4.01,4.12
896,IN,413400,12.78,13.92
897,OUT,261048,12.64,10.16
898,IN,406819,6.19,11.86
899,IN,120711,11.51,14.58
900,IN,423544,7.27,9.44
901,OUT,419015,10.29,9.86
902,OUT,340175,14.99,14.86
903,OUT,101967,13.83,5.46
904,OUT,364797,6.87,6.65
905,IN,170535,4.35,4.5
906,OUT,309527,14.69,14.55
907,OUT,152366,14.34,13.47
908,IN,192200,5.35,5.87
909,IN,261589,5.02,7.63
910,IN,407188,4.43,10.03
911,OUT,120709,14.89,14.76
912,IN,452970,5.82,6.96
913,IN,280832,5.39,6.1
914,IN,455217,6.15,12.2
915,IN,410753,4.15,4.2
916,OUT,260165,14.6,14.48
917,OUT,381450,12.29,11.4
918,OUT,223263,10.65,9.18
919,OUT,473505,14.97,14.96
920,IN,184740,5.16,9.85
921,OUT,198604,14.5,13.25
922,IN,176882,9.85,10.05
923,IN,200296,8.24,12.84
924,IN,450573,4.03,4.47
925,IN,277354,10.72,11.25
926,IN,229013,8.59,11.02
927,OUT,391041,7.98,7.16
928,OUT,402669,13.75,9.57
929,OUT,248514,11.23,8.0
930,OUT,128209,12.61,12.27
931,OUT,236657,8.97,7.07
932,OUT,144321,13.92,13.0
933,IN,340040,4.06,4.31
934,OUT,171927,13.52,10.1
935,OUT,130650,14.47,7.39
936,OUT,293748,12.16,10.69
937,OUT,102326,14.88,14.64
938,IN,428843,7.58,12.62
939,IN,485979,5.24,6.43
940,IN,162790,9.56,12.29
941,OUT,484880,10.7,5.9
942,OUT,402607,8.9,4.51
943,OUT,431178,13.58,10.59
944,IN,494121,4.01,6.49
945,IN,254931,8.13,11.67
946,OUT,147785,14.12,13.92
947,IN,112906,7.71,9.06
948,OUT,454559,6.52,4.66
949,OUT,410134,14.56,13.18
950,IN,217606,4.02,4.14
951,OUT,462969,14.86,13.94
952,IN,108032,6.56,8.39
953,IN,427385,6.75,9.0
954,OUT,458643,14.66,13.8
955,OUT,217971,13.55,11.61
956,IN,297491,4.36,13.92
957,OUT,294645,7.25,6.5
958,IN,131260,8.95,14.08
959,OUT,208674,9.74,5.33
960,OUT,114121,13.94,10.64
961,OUT,493244,13.21,13.11
962,IN,423345,10.87,12.59
963,OUT,225789,7.79,7.09
964,OUT,227436,11.18,9.33
965,IN,323624,4.12,7.65
966,IN,188326,5.34,14.49
967,IN,329661,5.7,6.3
968,OUT,438202,14.19,8.34
969,IN,234615,14.67,14.72
970,OUT,146136,6.96,5.96
971,OUT,390145,7.72,7.39
972,IN,242382,4.04,5.04
973,IN,353170,5.59,7.04
974,OUT,150269,10.02,7.48
975,IN,380521,7.43,12.3
976,OUT,267183,10.52,9.57
977,OUT,218299,13.81,11.77
978,OUT,230837,6.32,4.7
979,IN,392571,4.17,4.21
980,IN,443106,6.99,12.33
981,OUT,261841,11.94,10.83
982,IN,397388,6.38,12.85
983,OUT,333801,12.61,11.18
984,IN,139924,9.68,9.76
985,IN,137862,7.09,8.19
986,IN,422701,10.55,11.48
987,IN,368737,4.49,6.12
988,OUT,172511,10.44,10.23
989,OUT,145349,14.88,8.22
990,IN,347525,4.11,4.3
991,OUT,446182,14.97,14.87
992,OUT,179385,13.1,4.39
993,OUT,415556,13.98,7.35
994,OUT,430742,13.38,12.85
995,OUT,150474,7.88,7.68
996,OUT,295755,14.55,14.19
997,OUT,300445,10.13,9.33
998,IN,434749,9.62,10.23
999,OUT,389741,7.91,7.7
1000,OUT,226017,11.84,9.73
