asset_id,asset_type,purchase_date,purchase_cost,current_cost
1263,IT Software,2015-05-25,11069,11231
1264,Land,2023-05-26,468981,573937
1265,IT Software,2018-11-21,6109,6964
1266,Land,2013-12-24,140306,516088
1267,IT Software,2016-06-07,9927,10341
1268,Vehicle,2015-11-06,23665,8864
1269,Land,2015-03-06,203016,469465
1270,Land,2021-03-04,325163,572833
1271,Vehicle,2021-05-25,38036,7657
1272,Vehicle,2015-05-23,49899,6450
1273,Land,2016-12-17,157913,428572
1274,Land,2019-01-19,293583,555284
1275,Land,2022-11-18,425122,889666
1276,IT Software,2019-11-28,3902,4411
1277,Land,2019-09-02,314483,778165
1278,Equipment,2022-01-01,9892,1942
1279,Equipment,2015-02-12,8547,3174
1280,Land,2020-02-29,211329,411472
1281,Vehicle,2021-11-28,30958,6572
1282,Vehicle,2021-04-18,10497,7321
1283,Vehicle,2020-05-25,43328,8693
1284,IT Software,2022-12-31,1566,2470
1285,Equipment,2020-06-08,6247,2039
1286,IT Software,2013-08-07,3290,3665
1287,Building,2023-02-08,318015,396934
1288,Equipment,2018-03-19,7074,2253
1289,Vehicle,2019-10-06,29640,9619
1290,Building,2021-02-07,992113,1043248
1291,IT Software,2016-10-01,5250,5604
1292,IT Software,2016-09-11,1934,2787
1293,Land,2014-01-19,301354,737604
1294,Equipment,2018-09-07,6467,2508
1295,IT Software,2015-03-21,17391,18249
1296,Vehicle,2016-12-06,36247,8768
1297,Land,2021-12-07,307549,574532
1298,Vehicle,2019-06-24,35563,5435
1299,Land,2016-10-27,203480,692571
1300,Vehicle,2022-03-10,10245,7437
1301,Vehicle,2013-12-30,46736,9405
1302,IT Software,2021-10-25,12860,13387
1303,Equipment,2017-04-18,6071,4006
1304,Building,2015-12-27,352766,417051
1305,Land,2020-10-01,397797,850666
1306,Vehicle,2015-04-11,26968,6306
1307,Building,2013-11-01,823113,889468
1308,IT Software,2018-10-22,14757,14923
1309,IT Software,2017-06-09,15210,15254
1310,IT Software,2022-12-08,19985,20152
1311,Land,2017-04-08,249182,410532
1312,Land,2021-06-29,203447,449989
1313,Building,2017-07-22,873941,921885
1314,IT Software,2022-05-30,11558,12034
1315,IT Software,2014-01-15,13485,13748
1316,Land,2019-02-02,374067,614324
1317,Building,2020-09-04,394226,423647
1318,Land,2013-10-15,481020,714513
1319,Equipment,2022-05-07,5366,1771
1320,IT Software,2018-11-13,3022,3428
1321,IT Software,2018-09-26,10790,11040
1322,Land,2023-03-22,389512,882171
1323,Building,2016-07-06,217608,272949
1324,Equipment,2022-03-19,9938,4411
1325,Vehicle,2016-11-05,36752,5883
1326,Vehicle,2017-02-22,25923,7436
1327,IT Software,2017-08-29,15885,16321
1328,IT Software,2020-06-18,9490,9827
1329,Equipment,2019-07-09,8234,4241
1330,Land,2022-10-25,270034,374528
1331,Building,2018-04-17,444872,503695
1332,Equipment,2017-04-26,6029,3414
1333,Vehicle,2018-01-05,30847,9567
1334,Vehicle,2021-09-29,37003,6149
1335,IT Software,2013-08-27,2797,2859
1336,Building,2018-03-15,424022,460505
1337,IT Software,2017-02-26,17950,18575
1338,Building,2014-02-10,912861,987949
1339,IT Software,2016-04-18,5846,6374
1340,Vehicle,2020-02-21,45201,8861
1341,Building,2022-07-30,318760,408350
1342,IT Software,2021-02-22,11317,11960
1343,Building,2015-01-01,875477,922910
1344,Vehicle,2017-12-01,10843,6846
1345,Building,2015-04-21,826972,885979
1346,Vehicle,2017-03-22,48037,8600
1347,IT Software,2019-06-18,8356,8652
1348,Vehicle,2021-04-27,35300,9547
1349,IT Software,2014-05-14,19202,19634
1350,Equipment,2022-01-14,6336,1271
1351,Vehicle,2016-08-24,39950,9336
1352,IT Software,2023-03-17,17597,18119
1353,Land,2014-10-19,467723,765131
1354,Vehicle,2020-10-07,34393,8002
1355,Equipment,2017-12-05,7739,4488
1356,Building,2022-07-13,313378,389719
1357,Equipment,2018-03-07,9493,2027
1358,Building,2021-03-04,472321,534656
1359,IT Software,2022-12-25,10031,10201
1360,Equipment,2017-01-08,5839,1947
1361,IT Software,2015-05-22,19216,20089
1362,IT Software,2016-08-05,18983,19645
1363,Building,2023-01-28,717953,792890
1364,Vehicle,2016-04-01,40592,9676
1365,IT Software,2022-05-01,10120,10564
1366,Land,2016-04-24,183535,435265
1367,Equipment,2017-01-20,8577,3764
1368,Equipment,2018-02-28,6083,3067
1369,Vehicle,2017-12-03,38137,7464
1370,Equipment,2022-05-21,7088,2456
1371,Land,2013-09-03,457915,837464
1372,Equipment,2019-10-18,6108,3641
1373,Equipment,2014-06-10,9272,2413
1374,Vehicle,2018-11-25,44707,6046
1375,Land,2021-07-20,417040,547656
1376,Vehicle,2015-03-29,11649,9879
1377,Equipment,2014-06-04,6507,3034
1378,Land,2021-03-19,243783,521429
1379,Equipment,2020-10-19,5603,1852
1380,Vehicle,2014-05-09,36958,9646
1381,Land,2017-02-20,256078,473182
1382,Land,2013-12-17,221192,395979
1383,IT Software,2022-06-30,7628,7690
1384,Land,2022-04-12,263917,469854
1385,IT Software,2016-03-17,1231,1625
1386,Equipment,2013-11-29,7788,3555
1387,IT Software,2016-11-09,2668,2739
1388,Land,2018-06-01,183688,327432
1389,Vehicle,2023-02-13,24805,5683
1390,Building,2017-11-08,171019,201121
1391,Land,2016-02-01,263757,606951
1392,IT Software,2021-09-07,13320,13680
1393,Building,2016-02-14,693116,779905
1394,Vehicle,2022-03-25,26386,8288
1395,Equipment,2017-12-03,9767,3348
1396,Vehicle,2019-12-06,27324,7496
1397,Vehicle,2023-02-27,24973,6936
1398,Equipment,2020-04-01,5172,2406
1399,IT Software,2019-03-30,5523,6367
1400,Building,2019-06-21,192988,225950
1401,Equipment,2021-12-20,5580,4124
1402,Building,2015-12-06,567612,585436
1403,Building,2014-02-03,443712,490588
1404,IT Software,2014-10-06,4758,5706
1405,IT Software,2020-03-27,15280,16012
1406,Land,2014-09-23,276764,522134
1407,Vehicle,2021-10-05,43754,6494
1408,Equipment,2021-01-23,7193,2717
1409,Land,2022-06-17,110671,226751
1410,Vehicle,2022-07-16,19342,8655
1411,IT Software,2018-02-04,14350,14657
1412,Building,2016-12-09,665501,723242
1413,Building,2015-12-12,168684,246316
1414,Land,2018-06-30,487061,670533
1415,IT Software,2016-07-22,6664,7033
1416,Land,2017-10-14,424910,880139
1417,IT Software,2023-07-11,14858,15408
1418,Vehicle,2021-05-06,45019,8887
1419,Vehicle,2021-03-08,36531,5907
1420,Land,2019-05-04,466087,716883
1421,Equipment,2016-05-27,5367,1989
1422,IT Software,2017-10-02,12487,12782
1423,IT Software,2017-06-08,2229,3099
1424,Building,2020-03-21,297076,332971
1425,Vehicle,2018-01-26,40660,7517
1426,Land,2019-04-21,272739,763848
1427,Building,2014-05-09,522023,577585
1428,Equipment,2023-04-13,9379,3692
1429,Vehicle,2015-08-12,44526,6741
1430,Building,2021-10-18,954672,990186
1431,Vehicle,2014-01-09,35262,9946
1432,IT Software,2018-11-06,13369,13930
1433,Building,2014-04-16,660171,739330
1434,Land,2017-04-25,427832,837243
1435,Land,2018-03-07,125603,586551
1436,Land,2015-06-01,180429,425354
1437,IT Software,2013-10-17,13686,14426
1438,Equipment,2021-11-11,9884,3887
1439,Land,2015-06-04,242847,492453
1440,Land,2022-01-12,177614,308837
1441,Building,2018-05-06,700389,741358
1442,IT Software,2018-05-10,3119,3758
1443,Land,2017-03-31,376264,614751
1444,IT Software,2016-09-13,2877,2969
1445,IT Software,2014-03-15,13347,13792
1446,Building,2020-04-20,235381,304557
1447,Building,2014-07-31,930607,941357
1448,Equipment,2022-12-21,5739,3627
1449,Building,2017-05-21,886809,979771
1450,IT Software,2018-04-13,5921,6114
1451,Equipment,2020-07-01,8079,1316
1452,Land,2017-09-16,249795,470809
1453,Equipment,2022-02-28,8415,3298
1454,Land,2021-02-04,444739,896388
1455,IT Software,2016-03-12,15993,16572
1456,IT Software,2015-08-17,14662,15389
1457,Vehicle,2020-05-13,36733,9763
1458,Equipment,2022-08-17,7468,1660
1459,Land,2017-07-27,421597,703553
1460,Land,2013-08-29,240671,377805
1461,IT Software,2023-03-28,9499,9857
1462,Building,2015-01-23,270894,349473
1463,IT Software,2019-08-30,11329,12032
1464,Building,2015-01-12,156707,231571
1465,Vehicle,2013-11-28,43962,5691
1466,Vehicle,2022-01-06,16262,6725
1467,IT Software,2021-07-22,16169,17133
1468,IT Software,2020-12-05,13782,13998
1469,Building,2016-07-12,857392,910579
1470,Land,2020-07-16,412551,738752
1471,Equipment,2016-06-11,9660,3820
1472,Building,2022-08-05,191911,218829
1473,Equipment,2019-06-23,5767,1992
1474,Land,2023-04-21,406754,884299
1475,IT Software,2014-08-10,13513,14452
1476,Vehicle,2020-09-26,17242,5772
1477,Land,2018-01-15,254738,628160
1478,Building,2016-05-10,104779,128785
1479,Vehicle,2018-08-18,26642,9801
1480,IT Software,2013-08-03,6157,6581
1481,Land,2016-06-01,392479,641768
1482,Equipment,2023-06-19,6511,1165
1483,Vehicle,2013-08-25,44448,5724
1484,Vehicle,2016-02-23,40814,5111
1485,IT Software,2015-07-01,14168,14881
1486,Building,2021-01-01,915552,959853
1487,Equipment,2018-11-26,9232,1409
1488,Vehicle,2019-06-18,46737,8617
1489,Vehicle,2021-05-04,26213,7755
1490,Building,2014-10-18,319644,365061
1491,Land,2020-01-12,471309,795060
1492,Land,2018-12-11,344728,825855
1493,Building,2021-06-26,983074,1004547
1494,IT Software,2013-09-13,4359,5029
1495,Building,2015-07-06,879373,926929
1496,Building,2020-01-10,100207,114469
1497,IT Software,2019-02-23,1155,1879
1498,Land,2019-06-07,396261,548514
1499,Vehicle,2020-06-24,30698,8769
1500,Equipment,2015-04-17,7158,3564
1501,Building,2021-06-11,754821,848614
1502,Land,2019-03-16,471423,742203
1503,IT Software,2018-03-06,12760,13461
1504,Vehicle,2014-09-07,43162,7518
1505,Building,2021-09-09,888818,910294
1506,Land,2019-12-16,436552,765538
1507,Land,2014-05-20,455351,853174
1508,Equipment,2014-08-16,9015,4137
1509,IT Software,2016-06-15,6146,6338
1510,Building,2015-11-28,724748,812888
1511,Building,2017-05-28,211406,245090
1512,IT Software,2020-09-01,9010,9911
1513,IT Software,2016-08-30,8390,9175
1514,Vehicle,2016-04-13,20796,7704
1515,Land,2018-11-06,307642,463207
1516,Vehicle,2015-04-16,24010,5248
1517,Building,2016-07-22,696772,719222
1518,Equipment,2013-08-14,5090,3367
1519,Equipment,2014-07-29,7938,4661
1520,IT Software,2015-01-31,7227,8178
1521,Vehicle,2020-01-18,39335,6786
1522,Vehicle,2015-02-17,21377,8949
1523,Land,2019-05-07,240128,559719
1524,IT Software,2014-04-03,1382,1691
1525,Equipment,2015-01-10,8590,1206
1526,Land,2021-02-24,247463,561096
1527,IT Software,2016-10-06,10694,11213
1528,Land,2023-02-08,162084,517960
1529,Land,2022-07-12,443845,636067
1530,Vehicle,2018-03-08,20759,5008
1531,IT Software,2013-09-04,10486,11075
1532,Land,2020-08-20,153246,594414
1533,Vehicle,2014-11-03,26877,6163
1534,Land,2021-01-11,389580,497302
1535,Land,2021-01-12,342084,551675
1536,Equipment,2019-08-08,9352,1353
1537,Building,2020-03-02,467211,490279
1538,Building,2014-09-11,621980,702967
1539,Land,2019-11-20,420348,700665
1540,Land,2016-12-14,115861,310622
1541,Vehicle,2021-11-16,45710,6148
1542,Vehicle,2015-08-15,47339,9451
1543,Vehicle,2019-02-07,36076,5155
1544,IT Software,2019-01-17,2890,3376
1545,Building,2014-05-26,677667,691640
1546,Vehicle,2023-01-30,14230,9945
1547,IT Software,2014-06-25,8988,9983
1548,Equipment,2017-05-24,8757,2341
1549,Vehicle,2021-04-08,33068,5249
1550,IT Software,2017-09-04,8982,9003
1551,Equipment,2015-04-08,7731,3812
1552,Equipment,2017-02-17,5748,1215
1553,Building,2019-11-26,630173,721682
1554,Equipment,2021-02-10,6923,3376
1555,Land,2016-03-18,397284,513433
1556,Equipment,2022-07-12,5431,4302
1557,Building,2023-05-22,628520,705666
1558,Building,2013-11-25,425964,525947
1559,Land,2014-10-04,426027,847744
1560,Equipment,2021-02-24,9213,2481
1561,IT Software,2014-01-12,18785,19030
1562,Building,2018-10-01,181052,233465
1563,IT Software,2013-08-18,7095,7117
1564,Land,2017-10-12,402710,538248
1565,Land,2020-12-06,466543,731354
1566,Equipment,2014-10-04,5414,1360
1567,Equipment,2017-04-14,9695,1377
1568,Building,2013-08-10,771457,867413
1569,IT Software,2017-08-24,17840,18809
1570,Building,2018-12-30,170524,256561
1571,Land,2021-05-18,453040,835338
1572,Vehicle,2014-10-17,46783,7025
1573,Equipment,2020-05-16,6368,4879
1574,Vehicle,2015-05-05,19870,8931
1575,Building,2022-11-12,499083,588079
1576,Building,2016-11-20,782113,850784
1577,IT Software,2022-06-08,19137,19962
1578,Vehicle,2020-03-12,37925,9564
1579,Vehicle,2022-07-25,31161,8140
1580,Building,2022-06-08,157805,231112
1581,IT Software,2014-12-19,14288,14750
1582,Equipment,2017-03-01,9481,3706
1583,IT Software,2016-08-06,7000,7730
1584,IT Software,2018-04-26,2959,3491
1585,Land,2018-02-07,245135,619210
1586,IT Software,2015-04-12,10069,10864
1587,Equipment,2013-10-21,8869,1156
1588,Land,2017-03-17,354628,851416
1589,Land,2014-03-16,108873,446909
1590,Vehicle,2019-07-24,38759,7932
1591,IT Software,2021-05-16,18156,18170
1592,Building,2013-09-12,246735,323374
1593,Equipment,2023-03-20,6633,1690
1594,Building,2017-05-10,736953,785622
1595,Land,2019-12-04,130019,404346
1596,Land,2016-05-20,321592,820691
1597,Building,2014-11-06,851305,912350
1598,Vehicle,2014-01-13,17216,6627
1599,Equipment,2016-04-26,7052,2372
1600,Land,2017-07-03,303667,666130
1601,IT Software,2020-06-22,17020,17097
1602,Vehicle,2016-11-10,25148,8014
1603,IT Software,2022-11-07,9104,9674
1604,Equipment,2015-08-10,7349,1519
1605,IT Software,2015-04-19,9212,10159
1606,IT Software,2015-05-02,15830,16053
1607,Building,2014-02-19,425145,490867
1608,Equipment,2020-09-06,9737,3430
1609,Equipment,2018-07-19,8515,4298
1610,Vehicle,2017-09-28,47944,8829
1611,Vehicle,2021-02-11,26053,7940
1612,Land,2014-05-27,110384,256156
1613,Land,2017-08-30,114207,512586
1614,IT Software,2020-03-29,14508,15032
1615,Vehicle,2023-02-17,31016,5579
1616,IT Software,2023-06-21,12031,12681
1617,Equipment,2023-03-23,9486,4031
1618,Building,2017-10-19,213361,250151
1619,Vehicle,2016-06-12,22262,8885
1620,Building,2014-05-23,880961,967580
1621,Equipment,2017-07-13,9771,2930
1622,Vehicle,2019-01-20,35832,7198
1623,Land,2022-01-16,355818,460807
1624,Land,2014-02-21,183519,512510
1625,IT Software,2016-01-04,11228,11466
1626,Equipment,2014-11-05,6313,1971
1627,Equipment,2017-11-08,5418,3336
1628,IT Software,2017-02-12,4521,5293
1629,Vehicle,2019-03-09,20373,9664
1630,IT Software,2022-01-05,4412,4886
1631,Vehicle,2013-12-03,25913,6257
1632,Building,2020-03-19,563076,647023
1633,Building,2015-12-05,666297,705613
1634,Building,2018-11-30,163095,217155
1635,Building,2016-05-17,279571,289977
1636,Land,2017-02-26,324534,634829
1637,Vehicle,2021-11-22,29557,9352
1638,Equipment,2021-05-20,9776,4652
1639,Building,2013-11-11,866272,962652
1640,Building,2020-07-02,183695,225636
1641,Vehicle,2023-03-17,44707,7018
1642,Land,2022-07-31,379009,718273
1643,Equipment,2020-02-20,8414,1035
1644,IT Software,2019-12-07,7835,8202
1645,Equipment,2023-02-15,8291,1803
1646,IT Software,2015-09-08,9288,9490
1647,IT Software,2014-06-24,19902,20055
1648,Building,2021-01-07,157267,197860
1649,IT Software,2022-09-01,11583,11739
1650,Equipment,2021-11-30,6082,4574
1651,Land,2020-11-14,287446,750599
1652,IT Software,2016-02-06,17728,18613
1653,Vehicle,2013-09-16,33120,9511
1654,IT Software,2021-10-20,10852,11129
1655,Land,2022-01-27,299960,731829
1656,IT Software,2023-01-18,14841,15604
1657,Equipment,2016-09-02,6806,1290
1658,Land,2016-02-23,119466,282748
1659,Vehicle,2020-07-28,27176,5118
1660,IT Software,2019-01-19,10856,10993
1661,IT Software,2018-12-08,1353,1372
1662,IT Software,2018-07-22,7874,8319
1663,Vehicle,2017-02-05,49205,9395
1664,Building,2019-03-19,910438,949744
1665,Land,2023-01-22,435928,728036
1666,Equipment,2021-06-06,5757,1126
1667,Land,2021-05-08,370727,699071
1668,IT Software,2022-06-18,7967,8212
1669,Equipment,2018-03-17,8271,2358
1670,Building,2018-07-05,807761,859108
1671,Building,2021-11-06,136834,147216
1672,Land,2022-03-09,243410,657509
1673,Equipment,2018-08-13,6294,4620
1674,Building,2014-08-21,139921,208060
1675,Equipment,2015-08-01,6986,2551
1676,Equipment,2016-07-30,5592,3029
1677,Vehicle,2018-08-25,10779,5253
1678,Building,2018-10-30,732179,788823
1679,Land,2016-05-06,383568,765823
1680,Land,2023-02-11,232246,731282
1681,Equipment,2022-11-16,7787,2964
1682,Building,2018-05-31,258140,301457
1683,Vehicle,2019-11-29,10600,7993
1684,Land,2020-12-09,157351,629171
1685,IT Software,2016-03-20,6801,7517
1686,Building,2015-11-25,674397,726925
1687,Equipment,2014-03-02,6932,2241
1688,Equipment,2019-10-22,8463,4339
1689,IT Software,2014-03-09,12824,13565
1690,Equipment,2016-11-21,5344,4049
1691,Vehicle,2021-02-08,16152,5277
1692,Land,2014-06-21,270884,471360
1693,Land,2020-08-14,278180,564461
1694,IT Software,2016-05-03,19037,19588
1695,Equipment,2014-01-02,8324,3704
1696,Equipment,2013-10-28,5188,3025
1697,Land,2023-05-30,103044,355196
1698,IT Software,2021-08-09,19851,20449
1699,IT Software,2021-01-20,15219,15993
1700,Equipment,2015-10-01,6989,3274
1701,Land,2023-04-15,345955,657439
1702,Land,2020-02-07,178315,385529
1703,Land,2023-06-10,223841,619106
1704,Vehicle,2018-08-31,30424,8554
1705,Building,2018-06-11,250382,330871
1706,IT Software,2014-05-25,2490,2554
1707,IT Software,2018-10-11,19998,20855
1708,Land,2022-07-06,329265,443201
1709,Building,2020-04-10,279738,337603
1710,Equipment,2016-05-17,8091,3943
1711,IT Software,2016-08-08,3987,4048
1712,Vehicle,2020-04-28,42204,5717
1713,Vehicle,2023-02-05,14302,9794
1714,Vehicle,2015-09-06,32440,7357
1715,Land,2018-05-11,474516,676155
1716,Vehicle,2016-09-26,37278,5660
1717,Building,2019-08-24,396555,495080
1718,Land,2018-04-19,306707,456202
1719,Building,2017-04-09,978731,994102
1720,Equipment,2013-08-17,6537,1162
1721,IT Software,2014-09-22,6838,6854
1722,Vehicle,2014-10-03,21427,5249
1723,Vehicle,2022-06-24,13392,5387
1724,Land,2013-08-19,367779,703943
1725,Building,2022-04-27,967640,1009525
1726,IT Software,2016-04-27,17796,18689
1727,IT Software,2014-12-05,9111,9274
1728,Building,2021-07-14,463208,481449
1729,IT Software,2016-08-04,15543,16206
1730,Building,2017-05-31,723296,735675
1731,Equipment,2021-10-01,6441,1160
1732,Equipment,2019-12-25,6910,2190
1733,Land,2016-12-22,386546,567269
1734,Vehicle,2016-12-04,12579,5199
1735,IT Software,2020-06-09,2768,3236
1736,IT Software,2021-02-19,6808,7717
1737,Building,2018-11-26,702311,758845
1738,Vehicle,2019-06-16,48061,9005
1739,Equipment,2017-10-20,8896,1166
1740,IT Software,2022-09-15,7624,8052
1741,Land,2016-07-06,465938,917848
1742,Equipment,2017-09-18,9088,1300
1743,Equipment,2016-01-12,9783,2702
1744,Land,2020-06-22,265932,491676
1745,Equipment,2020-05-16,7076,4206
1746,Equipment,2017-02-21,8006,4182
1747,Vehicle,2020-02-13,46956,6792
1748,Land,2014-11-20,436994,901049
1749,Equipment,2018-09-27,8393,1828
1750,IT Software,2023-06-21,1229,1772
1751,Land,2014-02-04,234571,611007
1752,IT Software,2021-08-04,15700,16360
1753,Vehicle,2021-12-15,36431,5685
1754,Vehicle,2018-10-26,34772,7742
1755,Equipment,2019-08-31,6768,1052
1756,Land,2021-01-29,499228,617432
1757,Land,2018-03-09,363676,663448
1758,Equipment,2022-01-13,8908,1680
1759,Land,2021-04-08,399696,874949
1760,Equipment,2017-12-30,8546,3491
1761,Land,2022-10-02,269697,519386
1762,Equipment,2016-11-11,5987,1610
1763,Land,2018-12-11,115980,287158
1764,IT Software,2021-12-15,16110,16499
1765,Vehicle,2017-09-05,40254,5894
1766,IT Software,2019-12-06,18406,18511
1767,Equipment,2021-06-14,7890,3350
1768,Vehicle,2020-10-10,37608,9275
1769,Building,2017-12-29,342554,403106
1770,Equipment,2020-08-24,6362,2338
1771,Vehicle,2020-10-23,17910,8149
1772,Equipment,2019-09-12,9347,2154
1773,Equipment,2020-04-27,8422,3574
1774,Building,2019-09-16,342573,392946
1775,Land,2017-10-01,161041,342037
1776,Building,2019-06-11,621726,635281
1777,Equipment,2022-02-11,8492,4561
1778,IT Software,2017-11-22,12865,13858
1779,Building,2021-11-25,903329,973481
1780,Vehicle,2019-09-22,28517,8210
1781,Vehicle,2016-11-19,45886,7897
1782,Land,2022-12-01,309577,442070
1783,IT Software,2019-01-23,13128,14036
1784,Building,2014-10-18,977516,988156
1785,Building,2023-02-19,259530,351261
1786,IT Software,2018-02-01,17255,18137
1787,IT Software,2020-06-29,2279,2838
1788,Equipment,2015-06-20,6579,2456
1789,Land,2013-11-11,188390,502472
1790,Equipment,2019-06-22,9672,1138
1791,Building,2013-09-29,148559,168407
1792,Building,2022-07-23,174095,248649
1793,IT Software,2015-10-22,19957,20150
1794,Land,2020-04-30,113272,318193
1795,Land,2015-07-06,195880,337993
1796,Building,2022-12-16,840645,900510
1797,Equipment,2015-11-13,9264,1044
1798,Land,2017-09-17,155240,437280
1799,Building,2022-06-06,998274,1034700
1800,Equipment,2014-06-09,5798,1448
1801,Vehicle,2018-05-25,15942,8631
1802,Building,2020-02-01,714818,787710
1803,Land,2021-10-11,353974,852220
1804,Building,2016-07-14,338442,386109
1805,Building,2015-01-20,256504,295554
1806,Land,2016-02-12,499981,930793
1807,IT Software,2018-08-10,3858,3925
1808,Building,2022-08-05,637948,689745
1809,Vehicle,2018-07-08,10124,5052
1810,IT Software,2014-05-09,14508,15404
1811,Land,2017-09-24,417407,634487
1812,Land,2019-06-07,248096,638368
1813,Equipment,2021-05-26,5485,2269
1814,Land,2016-08-15,395458,751275
1815,Land,2015-07-21,118507,389826
1816,Vehicle,2020-04-25,45711,9907
1817,IT Software,2020-11-16,14041,14908
1818,Land,2018-11-25,207532,387048
1819,IT Software,2022-12-29,6637,6998
1820,Equipment,2016-04-19,6317,1717
1821,Vehicle,2022-04-27,13402,8917
1822,Vehicle,2015-10-25,49607,7343
1823,Equipment,2018-07-18,8281,2721
1824,Vehicle,2015-08-16,13451,8837
1825,Land,2019-01-25,163661,431171
1826,IT Software,2021-02-11,15124,15909
1827,Equipment,2013-09-07,9709,3543
1828,IT Software,2021-11-23,5988,6984
1829,Equipment,2022-11-14,9087,4387
1830,IT Software,2013-11-23,6527,6898
1831,Building,2022-09-11,859903,911874
1832,IT Software,2015-10-28,14919,15086
1833,Vehicle,2019-12-27,42926,9439
1834,IT Software,2019-12-18,19154,19814
1835,Vehicle,2022-06-02,36579,5045
1836,Land,2019-07-20,346313,747127
1837,Vehicle,2016-01-08,26469,8248
1838,Land,2014-09-19,376164,541381
1839,Land,2014-04-15,280668,414079
1840,IT Software,2014-08-08,15614,16220
1841,Land,2021-05-26,487721,928599
1842,Building,2022-01-21,718949,790970
1843,Equipment,2019-11-25,9542,2240
1844,Vehicle,2018-04-06,41013,9560
1845,Vehicle,2018-11-22,49800,7364
1846,IT Software,2015-12-13,6959,7633
1847,IT Software,2020-05-18,5240,5328
1848,Land,2023-01-14,412715,584808
1849,Land,2019-05-14,478981,580857
1850,Equipment,2022-06-07,7175,3570
1851,Building,2018-12-17,879857,977704
1852,Equipment,2021-04-26,5257,4636
1853,IT Software,2018-03-22,1360,1992
1854,Land,2014-08-12,499407,787835
1855,Equipment,2017-10-06,5852,3773
1856,Equipment,2019-10-24,6812,2372
1857,Building,2021-12-23,134162,161969
1858,Land,2013-12-02,365677,698152
1859,Equipment,2017-11-02,8772,4820
1860,Land,2021-07-22,323733,569551
1861,Equipment,2016-01-02,5966,4209
1862,Building,2021-12-30,183771,207000
1863,Equipment,2017-02-08,9892,3104
1864,IT Software,2019-07-02,18075,18739
1865,Building,2018-10-07,427663,519716
1866,Vehicle,2015-04-10,35938,8805
1867,Vehicle,2020-10-17,46716,7868
1868,Land,2023-06-01,420696,782876
1869,IT Software,2020-11-07,17832,17841
1870,Vehicle,2018-01-02,38505,8267
1871,IT Software,2020-12-01,5980,6701
1872,Vehicle,2014-09-06,37059,8587
1873,Building,2014-07-14,125880,209031
1874,IT Software,2022-12-09,17756,18060
1875,Equipment,2021-02-04,7446,4528
1876,Vehicle,2017-01-31,27477,9884
1877,Vehicle,2019-06-10,39812,9774
1878,Vehicle,2016-09-23,40251,8107
1879,Vehicle,2015-07-06,49466,5110
1880,Building,2022-11-12,845209,890835
1881,Building,2015-09-06,299468,358466
1882,Equipment,2022-07-08,5368,3932
1883,Building,2015-07-30,780509,801745
1884,Building,2017-10-02,426865,452960
1885,Land,2017-04-27,305381,624172
1886,Building,2016-08-23,941425,1007319
1887,Equipment,2021-06-20,5272,3985
1888,Land,2022-04-18,348551,524257
1889,Land,2020-05-03,364257,815384
1890,Land,2018-08-28,349580,748649
1891,Building,2018-04-11,413994,512271
1892,Land,2020-02-10,263905,518442
1893,Land,2022-07-05,338282,495026
1894,Building,2019-02-08,129955,192531
1895,Equipment,2019-02-25,8212,2647
1896,Vehicle,2017-09-20,33384,9802
1897,Building,2014-01-06,341781,396349
1898,IT Software,2021-09-01,10804,11798
1899,Vehicle,2022-04-12,25129,7253
1900,IT Software,2022-10-05,2157,2263
1901,IT Software,2022-01-17,8095,8344
1902,Building,2022-05-05,225460,312880
1903,IT Software,2020-01-09,11074,11775
1904,Building,2022-06-09,714902,784560
1905,Land,2019-06-07,185806,400934
1906,Equipment,2015-02-11,7018,3549
1907,Building,2014-07-13,156212,168519
1908,IT Software,2016-11-29,17396,18270
1909,Vehicle,2020-08-23,23702,7348
1910,Building,2020-12-10,897187,962617
1911,Building,2019-12-29,687382,705196
1912,IT Software,2015-06-11,5971,6359
1913,Equipment,2014-07-26,8673,3342
1914,Land,2019-11-07,285662,570934
1915,Building,2020-01-18,723451,775814
1916,Land,2021-08-13,468190,577353
1917,IT Software,2021-01-06,4517,5343
1918,IT Software,2017-06-04,12130,12139
1919,Equipment,2023-05-28,5823,1320
1920,Equipment,2016-09-06,7427,4079
1921,Equipment,2019-05-15,8086,1141
1922,Equipment,2019-07-28,6712,2331
1923,Building,2015-03-14,266446,351728
1924,Vehicle,2021-10-15,22059,7462
1925,Land,2014-02-25,317362,674926
1926,Equipment,2014-04-21,7668,3816
1927,Vehicle,2021-12-16,17505,5621
1928,Building,2014-08-02,242383,280211
1929,Building,2020-01-15,455506,481197
1930,Land,2022-07-12,198570,427911
1931,Building,2022-07-07,260398,337634
1932,Equipment,2018-02-08,5898,1121
1933,Land,2020-03-29,160723,328018
1934,Land,2022-10-11,157148,344343
1935,Vehicle,2014-03-31,26852,7804
1936,Land,2023-06-19,245757,549652
1937,Land,2019-07-26,223700,555877
1938,IT Software,2016-03-12,19499,19631
1939,Equipment,2018-11-10,5897,3546
1940,Land,2023-03-29,133933,479553
1941,Vehicle,2022-03-11,14927,8134
1942,IT Software,2015-07-31,8117,9086
1943,Equipment,2018-08-07,7933,1638
1944,Equipment,2017-07-09,8344,4855
1945,Land,2017-02-06,127950,358572
1946,Building,2022-02-22,233207,278161
1947,Vehicle,2016-01-08,28706,5830
